Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,4.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,1.0,2.0,2.0
Gross Margin %,65.0,42.3,40.6,41.2,-213.5,29.3,9.6,-136.1,-92.6,7.0,7.0
Operating Income GBP Mil,2.0,0.0,-2.0,0.0,-12.0,1.0,-0.0,-4.0,-2.0,-0.0,-0.0
Operating Margin %,46.5,12.8,-55.0,12.7,-228.4,14.4,-11.8,-180.4,-137.1,-28.2,-28.2
Net Income GBP Mil,0.0,0.0,-2.0,-1.0,-11.0,-0.0,1.0,-2.0,-2.0,-0.0,-0.0
Earnings Per Share GBP,,,-0.02,-0.01,-0.08,,,-0.01,-0.01,,
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,63.0,63.0,76.0,106.0,136.0,138.0,175.0,207.0,245.0,252.0,252.0
Book Value Per Share * GBP,0.1,0.11,0.09,0.09,0.01,0.01,0.03,0.02,0.02,0.02,0.02
Operating Cash Flow GBP Mil,4.0,1.0,1.0,1.0,2.0,2.0,1.0,-0.0,-0.0,-0.0,-0.0
Cap Spending GBP Mil,-5.0,-1.0,-3.0,-5.0,-3.0,-1.0,-1.0,-3.0,-1.0,-1.0,-1.0
Free Cash Flow GBP Mil,-1.0,0.0,-2.0,-4.0,-1.0,1.0,0.0,-4.0,-2.0,-2.0,-2.0
Free Cash Flow Per Share * GBP,-0.02,,-0.02,-0.03,-0.01,0.01,,-0.01,-0.01,-0.01,
Working Capital GBP Mil,-3.0,-2.0,-2.0,-0.0,-1.0,-0.0,4.0,2.0,1.0,4.0,
