Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,1.14,0.6,0.77,3.62,0.72,0.9,1.61,0.51,0.79,0.63,0.74
Accounts Receivable,9.79,9.58,8.24,8.16,9.15,9.09,10.02,10.57,8.68,9.1,8.95
Inventory,,,,,,,,,,,
Other Current Assets,2.14,2.58,2.28,2.19,2.42,2.46,2.16,2.09,1.29,1.35,1.63
Total Current Assets,13.08,12.76,11.29,13.97,12.29,12.44,13.78,13.18,10.76,11.08,11.33
Net PP&E,12.0,11.77,11.28,10.15,9.25,9.47,9.25,10.46,9.4,10.37,10.4
Intangibles,73.75,74.26,76.21,74.68,77.44,77.04,76.02,75.62,79.13,78.12,77.77
Other Long-Term Assets,1.17,1.21,1.22,1.19,1.02,1.04,0.96,0.74,0.7,0.42,0.51
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.49,1.91,2.18,2.08,2.1,2.09,2.3,2.6,2.11,2.19,2.06
Short-Term Debt,1.37,2.21,3.02,3.37,3.16,2.47,3.87,3.0,2.28,1.04,2.06
Taxes Payable,,,,,0.19,0.33,0.5,0.41,0.39,0.26,
Accrued Liabilities,4.7,5.31,4.23,5.7,4.23,3.48,2.26,2.59,2.4,3.01,8.45
Other Short-Term Liabilities,0.75,0.78,0.69,0.55,0.61,0.95,1.65,1.89,1.12,1.27,1.28
Total Current Liabilities,9.31,10.21,10.11,11.69,10.29,9.33,10.59,10.49,8.3,7.78,13.86
Long-Term Debt,38.17,42.85,42.28,38.43,40.42,35.76,32.98,34.7,43.13,41.22,37.54
Other Long-Term Liabilities,8.12,8.83,8.86,10.15,11.58,11.44,11.35,11.77,10.0,10.8,8.59
Total Liabilities,55.6,61.89,61.26,60.27,62.29,56.53,54.92,56.95,61.43,59.8,59.99
Total Stockholders' Equity,44.4,38.11,38.74,39.73,37.71,43.47,45.08,43.05,38.57,40.2,40.01
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
