Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,16308.0,8100.0,5528.0,5954.0,6216.0,5989.0,7254.0,5489.0,5246.0,6365.0,6969.0
Gross Margin %,19.5,13.7,7.3,18.9,17.6,16.6,21.2,23.8,21.4,22.6,25.3
Operating Income USD Mil,406.0,-2601.0,-447.0,454.0,594.0,618.0,634.0,987.0,658.0,870.0,877.0
Operating Margin %,2.5,-32.1,-8.1,7.6,9.6,10.3,8.7,18.0,12.5,13.7,12.6
Net Income USD Mil,791.0,-1176.0,-545.0,1281.0,331.0,385.0,563.0,1826.0,506.0,1027.0,862.0
Earnings Per Share USD,1.44,-2.23,-0.95,3.99,0.61,0.71,0.95,3.18,0.89,1.39,1.16
Dividends USD,0.96,0.96,0.24,0.14,0.6,0.62,0.81,1.02,1.2,1.24,1.24
Payout Ratio % *,,,,3.5,,87.3,66.7,78.5,108.3,157.0,253.1
Shares Mil,548.0,528.0,571.0,321.0,540.0,542.0,571.0,561.0,520.0,722.0,755.0
Book Value Per Share * USD,15.23,9.11,7.65,8.6,8.94,7.5,10.39,11.14,9.53,12.28,11.98
Operating Cash Flow USD Mil,633.0,-1334.0,-162.0,744.0,291.0,581.0,1004.0,1088.0,1064.0,735.0,696.0
Cap Spending USD Mil,-880.0,-608.0,-239.0,-286.0,-241.0,-285.0,-293.0,-395.0,-519.0,-520.0,-466.0
Free Cash Flow USD Mil,-247.0,-1942.0,-401.0,458.0,50.0,296.0,711.0,693.0,545.0,215.0,230.0
Free Cash Flow Per Share * USD,-0.45,-3.68,-0.76,1.43,0.22,0.55,1.18,1.3,1.07,1.09,
Working Capital USD Mil,491.0,2401.0,2751.0,1567.0,1124.0,905.0,1198.0,2115.0,1299.0,416.0,
