Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,3.11,2.05,16.56,4.66,11.28,16.3,10.81,8.74,8.63,9.9
Accounts Receivable,,9.02,11.84,14.7,16.54,16.12,16.49,14.2,11.06,12.92,12.97
Inventory,,11.57,11.8,18.92,24.08,20.95,19.34,18.6,17.8,16.25,16.55
Other Current Assets,,2.27,4.08,3.87,4.79,2.37,1.35,4.35,5.42,3.16,4.4
Total Current Assets,,25.96,29.78,54.05,50.07,50.73,53.48,47.96,43.02,40.95,43.82
Net PP&E,,57.21,54.58,28.2,32.11,31.78,30.98,36.07,39.51,43.24,42.53
Intangibles,,7.82,6.7,8.42,7.71,6.73,5.53,5.5,5.17,4.6,4.16
Other Long-Term Assets,,9.01,8.94,9.33,10.11,10.77,10.01,10.48,12.31,11.21,9.48
Total Assets,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,8.44,5.86,7.72,11.22,13.56,10.34,9.22,7.15,8.65,8.47
Short-Term Debt,,82.6,24.06,0.18,0.23,0.4,0.22,1.44,1.57,2.54,1.52
Taxes Payable,,,,,1.08,,0.78,1.4,2.36,2.08,
Accrued Liabilities,,7.11,5.01,6.69,3.1,4.78,3.59,4.7,5.35,3.86,5.91
Other Short-Term Liabilities,,1.68,2.42,4.07,6.35,2.3,5.26,5.63,2.69,2.23,2.37
Total Current Liabilities,,99.83,37.34,18.66,21.97,21.04,20.18,22.39,19.11,19.37,18.27
Long-Term Debt,,1.06,1.1,23.68,17.43,17.77,21.16,27.83,33.71,35.77,33.8
Other Long-Term Liabilities,,20.34,93.89,12.42,14.22,15.2,12.95,15.55,18.4,19.06,18.91
Total Liabilities,,121.22,132.33,54.75,53.62,54.01,54.29,65.76,71.22,74.2,70.98
Total Stockholders' Equity,,-21.22,-32.33,45.25,46.38,45.99,45.71,34.24,28.78,25.8,29.02
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
