Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1527.0,1699.0,1484.0,2093.0,2336.0,2364.0,2520.0,4269.0,6824.0,13240.0,16928.0
Gross Margin %,23.7,38.6,37.7,46.2,49.1,48.3,47.5,44.0,52.1,44.9,49.0
Operating Income USD Mil,-105.0,160.0,48.0,466.0,584.0,582.0,552.0,438.0,1632.0,-409.0,2009.0
Operating Margin %,-6.9,9.4,3.2,22.3,25.0,24.6,21.9,10.3,23.9,-3.1,11.9
Net Income USD Mil,-159.0,83.0,-44.0,415.0,552.0,563.0,552.0,263.0,1364.0,-1739.0,528.0
Earnings Per Share USD,-0.74,0.38,-0.2,1.69,2.19,2.25,2.19,0.99,4.85,-4.86,1.13
Dividends USD,,,,,0.35,0.56,0.8,1.13,1.55,1.94,3.57
Payout Ratio % *,,,,,16.0,24.9,34.0,78.2,38.6,,272.5
Shares Mil,214.0,219.0,219.0,246.0,252.0,250.0,252.0,267.0,281.0,383.0,437.0
Book Value Per Share * USD,,,,5.56,8.16,9.85,11.01,12.25,15.53,48.89,48.54
Operating Cash Flow USD Mil,146.0,208.0,139.0,510.0,726.0,693.0,722.0,1175.0,2318.0,3411.0,5944.0
Cap Spending USD Mil,-37.0,-71.0,-58.0,-79.0,-112.0,-241.0,-236.0,-409.0,-593.0,-723.0,-1029.0
Free Cash Flow USD Mil,109.0,137.0,81.0,431.0,614.0,452.0,486.0,766.0,1725.0,2688.0,4915.0
Free Cash Flow Per Share * USD,,,0.71,1.1,2.44,1.81,1.9,2.78,5.14,5.79,
Working Capital USD Mil,396.0,291.0,231.0,522.0,1043.0,1345.0,1395.0,2819.0,2656.0,4047.0,
