Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,2789.0,3343.0,2735.0,2940.0,3344.0,3885.0,3999.0,4046.0,4203.0,4053.0,4148.0
Gross Margin %,28.5,31.1,29.6,26.8,27.6,27.4,28.2,27.6,27.7,27.6,27.4
Operating Income THB Mil,335.0,538.0,429.0,271.0,385.0,535.0,506.0,513.0,508.0,460.0,539.0
Operating Margin %,12.0,16.1,15.7,9.2,11.5,13.8,12.7,12.7,12.1,11.4,13.0
Net Income THB Mil,293.0,432.0,312.0,216.0,287.0,408.0,420.0,428.0,433.0,345.0,489.0
Earnings Per Share THB,0.59,0.73,0.48,0.34,0.48,0.68,0.7,0.72,0.72,0.58,0.82
Dividends THB,,,0.07,0.09,0.26,0.26,0.44,0.56,0.66,0.61,0.94
Payout Ratio % *,,,,37.2,65.0,41.3,62.0,81.1,91.7,85.9,114.6
Shares Mil,500.0,593.0,650.0,644.0,600.0,598.0,598.0,598.0,598.0,598.0,598.0
Book Value Per Share * THB,,-0.11,1.22,1.67,1.57,1.88,2.28,2.47,2.53,2.87,2.75
Operating Cash Flow THB Mil,217.0,98.0,246.0,184.0,287.0,247.0,351.0,424.0,538.0,406.0,434.0
Cap Spending THB Mil,-16.0,-14.0,-13.0,-10.0,-15.0,-19.0,-57.0,-97.0,-69.0,-43.0,-41.0
Free Cash Flow THB Mil,201.0,83.0,233.0,175.0,272.0,229.0,294.0,327.0,468.0,363.0,393.0
Free Cash Flow Per Share * THB,,0.4,0.13,0.22,0.37,0.35,0.6,0.44,0.66,0.76,
Working Capital THB Mil,30.0,198.0,381.0,486.0,585.0,828.0,943.0,993.0,960.0,705.0,
