Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,7075.0,6987.0,7124.0,7584.0,7708.0,8054.0,8446.0,10282.0,12483.0,12093.0,12093.0
Gross Margin %,51.3,52.6,51.9,52.2,51.3,51.8,50.9,45.7,48.0,49.1,49.1
Operating Income USD Mil,1537.0,1590.0,1582.0,1666.0,1558.0,1254.0,1606.0,1074.0,1430.0,1478.0,1478.0
Operating Margin %,21.7,22.8,22.2,22.0,20.2,15.6,19.0,10.4,11.5,12.2,12.2
Net Income USD Mil,1127.0,1232.0,1318.0,1271.0,1170.0,1293.0,1185.0,695.0,976.0,1100.0,1100.0
Earnings Per Share USD,4.46,4.99,5.49,5.62,5.59,6.49,5.99,3.35,4.49,4.6,4.6
Dividends USD,1.14,1.32,1.48,1.64,1.8,1.98,2.18,2.4,2.64,2.92,2.92
Payout Ratio % *,25.5,26.8,30.2,29.3,31.9,34.8,43.2,58.0,49.2,82.8,63.5
Shares Mil,253.0,247.0,240.0,226.0,209.0,199.0,198.0,208.0,218.0,224.0,224.0
Book Value Per Share * USD,20.3,21.69,23.65,22.48,21.5,24.31,28.03,34.42,37.66,55.21,56.79
Operating Cash Flow USD Mil,1687.0,1717.0,1744.0,1716.0,1760.0,1717.0,1746.0,1730.0,2559.0,2550.0,2550.0
Cap Spending USD Mil,-651.0,-701.0,-632.0,-605.0,-554.0,-588.0,-653.0,-633.0,-718.0,-727.0,-727.0
Free Cash Flow USD Mil,1036.0,1016.0,1112.0,1111.0,1207.0,1129.0,1093.0,1097.0,1841.0,1823.0,1823.0
Free Cash Flow Per Share * USD,4.1,4.12,4.63,4.91,5.32,4.14,7.61,4.47,8.69,6.13,
Working Capital USD Mil,2198.0,2870.0,2834.0,2845.0,3344.0,3743.0,3896.0,1659.0,1967.0,15291.0,
