Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,0.81,0.64,0.73,15.22,26.51,25.13,26.17,27.2,21.33,16.26,3.77
Accounts Receivable,4.4,3.21,2.43,3.05,2.73,3.26,2.94,2.64,2.91,3.47,2.93
Inventory,37.52,37.54,37.38,29.91,25.56,28.32,28.57,29.31,34.15,36.99,47.61
Other Current Assets,6.05,7.24,6.92,7.17,5.82,5.19,4.88,4.4,3.25,3.47,3.77
Total Current Assets,48.77,48.64,47.46,55.36,60.62,61.9,62.56,63.55,61.64,60.2,58.07
Net PP&E,50.36,51.36,52.54,44.64,39.38,37.88,37.17,36.16,37.99,39.36,41.37
Intangibles,,,,,,,,,,,
Other Long-Term Assets,0.87,,,,,0.22,0.27,0.29,0.37,0.44,0.56
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,11.1,8.4,10.18,11.92,9.03,9.32,9.25,9.62,8.79,10.17,15.78
Short-Term Debt,,3.16,,,,,,,,,
Taxes Payable,,,1.95,,1.21,1.57,1.76,1.88,1.49,1.33,0.03
Accrued Liabilities,12.74,9.0,10.69,10.44,6.98,6.44,5.64,6.64,7.48,9.25,9.4
Other Short-Term Liabilities,,,,,,,,,,,
Total Current Liabilities,23.84,20.57,22.82,22.36,17.22,17.34,16.65,18.13,17.76,20.74,25.21
Long-Term Debt,15.93,15.48,,,,,,,,,
Other Long-Term Liabilities,15.18,20.9,24.32,22.53,21.69,20.96,20.77,18.96,17.56,18.51,17.78
Total Liabilities,54.94,56.94,47.15,44.9,38.92,38.29,37.41,37.1,35.32,39.25,42.99
Total Stockholders' Equity,45.06,43.06,52.85,55.1,61.08,61.71,62.59,62.9,64.68,60.75,57.01
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
