Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,16.6,13.83,16.05,15.35,15.23,16.04,10.56,11.29,35.09,18.02,20.05
Accounts Receivable,13.25,12.85,13.26,12.95,12.69,11.89,11.25,10.82,10.26,12.56,9.97
Inventory,15.26,15.33,14.73,13.56,13.78,13.75,13.53,13.73,7.65,9.2,8.84
Other Current Assets,4.29,4.39,3.61,3.82,3.65,3.74,3.33,4.11,3.24,2.52,3.61
Total Current Assets,49.4,46.4,47.66,45.68,45.35,45.41,38.67,39.94,56.24,42.29,42.46
Net PP&E,29.34,29.92,29.73,30.08,28.97,29.91,30.28,33.56,20.91,27.59,25.59
Intangibles,14.03,13.27,13.47,14.38,16.48,16.26,25.12,22.97,19.24,23.84,25.59
Other Long-Term Assets,7.24,10.41,9.14,9.86,9.2,8.42,5.93,3.53,3.61,6.28,6.37
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,6.02,5.38,4.65,4.26,4.17,3.76,4.26,4.88,3.41,5.09,
Short-Term Debt,2.78,2.52,4.1,0.09,1.34,0.13,0.7,3.52,8.46,,
Taxes Payable,,1.66,2.16,1.98,2.64,2.96,1.17,2.3,2.95,1.73,0.5
Accrued Liabilities,16.13,11.24,11.03,12.07,4.11,4.21,3.92,8.37,6.23,4.81,
Other Short-Term Liabilities,,2.8,3.78,4.71,13.21,12.29,12.78,4.24,6.36,6.02,14.68
Total Current Liabilities,24.92,23.6,25.72,23.11,25.47,23.34,22.83,23.31,27.41,17.65,15.18
Long-Term Debt,17.42,,,,,,,,,,
Other Long-Term Liabilities,12.44,35.97,32.84,39.34,40.01,42.63,44.45,45.36,30.41,29.02,30.86
Total Liabilities,54.78,59.57,58.56,62.45,65.47,65.97,67.29,68.67,57.83,46.67,46.04
Total Stockholders' Equity,45.22,40.43,41.44,37.55,34.53,34.03,32.71,31.33,42.17,53.33,53.96
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
