Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,362.0,350.0,345.0,362.0,349.0,324.0,290.0,290.0,630.0,710.0,900.0
Gross Margin %,21.0,20.9,23.5,24.4,29.4,33.6,41.0,49.2,40.4,39.3,41.0
Operating Income EUR Mil,34.0,34.0,44.0,40.0,48.0,55.0,61.0,75.0,69.0,59.0,111.0
Operating Margin %,9.4,9.7,12.9,11.1,13.8,17.1,21.1,26.0,11.0,8.3,12.3
Net Income EUR Mil,24.0,-184.0,101.0,31.0,41.0,23.0,156.0,50.0,46.0,26.0,297.0
Earnings Per Share EUR,0.66,-3.58,1.98,0.58,0.77,0.46,3.23,0.99,0.82,0.48,1.01
Dividends EUR,,,,,,,1.3,1.6,1.7,1.75,1.8
Payout Ratio % *,,,,,,,40.8,163.9,158.8,370.8,
Shares Mil,37.0,51.0,51.0,53.0,53.0,51.0,48.0,53.0,59.0,55.0,177.0
Book Value Per Share * EUR,2.11,4.39,0.6,2.71,3.07,2.88,4.09,3.38,6.47,5.25,21.19
Operating Cash Flow EUR Mil,19.0,43.0,54.0,41.0,20.0,24.0,57.0,72.0,76.0,80.0,186.0
Cap Spending EUR Mil,,-4.0,-4.0,-4.0,-3.0,,-20.0,-5.0,-163.0,-6.0,8.0
Free Cash Flow EUR Mil,19.0,39.0,50.0,37.0,17.0,24.0,37.0,66.0,-87.0,75.0,194.0
Free Cash Flow Per Share * EUR,0.94,0.35,0.76,0.96,0.5,0.18,0.85,1.57,-1.31,1.05,
Working Capital EUR Mil,,-24.0,-18.0,-3.0,10.0,65.0,201.0,328.0,83.0,47.0,
