Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,65258.0,45639.0,62605.0,78759.0,82492.0,100254.0,98102.0,72258.0,63364.0,71304.0
Gross Margin %,,13.4,16.0,4.9,7.5,9.5,12.5,14.1,22.7,21.6,20.7
Operating Income USD Mil,,1855.0,654.0,1011.0,3745.0,5347.0,3425.0,4051.0,4692.0,2378.0,3403.0
Operating Margin %,,2.8,1.4,1.6,4.8,6.5,3.4,4.1,6.5,3.8,4.8
Net Income USD Mil,,1215.0,449.0,623.0,2389.0,3389.0,2112.0,2524.0,2852.0,1174.0,1643.0
Earnings Per Share USD,,,,0.87,3.33,4.95,3.32,4.39,5.26,2.21,3.16
Dividends USD,,,,,0.45,1.2,1.54,1.84,1.64,1.36,1.44
Payout Ratio % *,,,,,,,,,28.8,61.6,45.6
Shares Mil,,,,716.0,714.0,684.0,634.0,574.0,542.0,530.0,520.0
Book Value Per Share * USD,,,,,,,,,401.96,525.96,508.04
Operating Cash Flow USD Mil,,684.0,2455.0,2217.0,3309.0,4492.0,3405.0,3110.0,4061.0,3986.0,4847.0
Cap Spending USD Mil,,-2787.0,-2891.0,-1217.0,-1185.0,-1369.0,-1206.0,-1480.0,-1998.0,-2892.0,-2673.0
Free Cash Flow USD Mil,,-2103.0,-436.0,1000.0,2124.0,3123.0,2199.0,1630.0,2063.0,1094.0,2174.0
Free Cash Flow Per Share * USD,,,,,,,,,58.27,36.42,
Working Capital USD Mil,,1967.0,1263.0,1436.0,2410.0,4826.0,2913.0,2760.0,3126.0,3255.0,
