Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,3.84,8.78,4.06,3.05,3.06,0.38,0.31,0.26,0.32,0.19,0.22
Accounts Receivable,3.74,2.99,3.29,3.02,2.97,2.96,3.07,2.83,2.66,2.11,2.72
Inventory,1.15,1.24,1.29,1.25,1.3,0.77,0.55,0.56,0.53,0.47,0.43
Other Current Assets,2.62,3.47,2.05,2.4,2.01,1.91,3.16,4.35,1.77,1.37,1.78
Total Current Assets,11.35,16.48,10.69,9.71,9.33,6.02,7.1,8.01,5.28,4.14,5.15
Net PP&E,59.39,54.56,65.42,66.29,66.85,68.19,65.29,65.72,69.74,72.1,70.83
Intangibles,,,,,,,,,,,
Other Long-Term Assets,29.25,28.96,23.89,23.99,23.81,25.79,27.61,26.27,24.99,23.77,24.02
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.61,2.31,2.71,2.99,2.95,3.21,3.02,3.15,2.6,2.62,2.06
Short-Term Debt,1.38,5.19,1.66,0.36,1.01,0.39,1.74,3.58,1.97,4.46,2.78
Taxes Payable,,,0.45,0.11,0.11,0.14,0.77,0.16,0.14,0.1,0.17
Accrued Liabilities,7.41,7.51,0.47,0.45,0.43,0.4,,,,,
Other Short-Term Liabilities,,,3.85,4.77,4.55,4.3,4.94,4.03,5.08,4.35,5.08
Total Current Liabilities,11.39,15.01,9.14,8.68,9.05,8.43,10.46,10.92,9.79,11.52,10.09
Long-Term Debt,24.0,24.54,25.18,27.17,28.5,20.79,21.06,20.39,21.79,19.83,21.72
Other Long-Term Liabilities,39.69,37.08,41.93,40.9,41.52,49.53,47.17,46.85,45.82,45.28,45.02
Total Liabilities,75.08,76.64,76.25,76.76,79.07,78.75,78.69,78.16,77.4,76.62,76.83
Total Stockholders' Equity,24.92,23.36,23.75,23.24,20.93,21.25,21.31,21.84,22.6,23.38,23.17
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
