Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,12.01,2.16,7.41,9.31,7.64,9.72,4.82,2.86,5.21,1.0,1.1
Accounts Receivable,13.26,14.47,12.14,11.9,11.43,11.06,8.57,7.92,6.44,4.75,4.78
Inventory,,,,,,,,,,,
Other Current Assets,5.11,5.5,5.1,4.43,3.65,3.56,3.05,3.62,5.41,0.95,1.06
Total Current Assets,30.39,22.13,24.66,25.64,22.72,24.34,16.43,14.41,17.06,6.7,6.94
Net PP&E,4.44,4.15,4.46,4.32,4.18,4.59,4.58,5.64,5.61,2.99,3.62
Intangibles,58.24,69.0,70.75,69.83,72.8,70.83,78.54,79.43,76.81,90.13,88.95
Other Long-Term Assets,6.94,4.72,0.12,0.2,0.3,0.24,0.44,0.52,0.52,0.18,0.5
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.84,2.44,1.58,1.66,1.06,1.47,1.06,0.98,1.06,0.42,0.36
Short-Term Debt,0.23,6.69,5.53,0.88,4.7,4.79,7.38,0.68,0.64,0.75,4.0
Taxes Payable,,,0.1,0.2,,,0.19,,0.42,0.09,0.09
Accrued Liabilities,7.34,8.54,6.52,5.89,4.97,3.93,4.18,5.06,4.59,3.35,2.87
Other Short-Term Liabilities,19.24,20.34,19.05,18.19,15.85,14.52,10.45,11.15,10.44,5.53,5.81
Total Current Liabilities,29.64,38.01,32.78,26.83,26.58,24.71,23.26,17.86,17.14,10.13,13.13
Long-Term Debt,,,0.01,12.76,21.44,25.1,33.19,33.77,37.41,23.53,24.43
Other Long-Term Liabilities,6.83,6.21,6.72,5.86,6.92,5.55,7.97,8.0,6.16,8.33,7.49
Total Liabilities,36.48,44.22,39.5,45.44,54.94,55.36,64.42,59.62,60.71,41.99,45.05
Total Stockholders' Equity,63.52,55.78,60.5,54.56,45.06,44.64,35.58,40.38,39.29,58.01,54.95
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
