Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,199.0,176.0,102.0,143.0,1411.0,1527.0,1212.0,580.0,1032.0,1702.0,2296.0
Gross Margin %,93.0,91.1,86.1,91.1,94.3,81.7,89.3,89.5,87.9,87.6,89.0
Operating Income USD Mil,-420.0,-463.0,-614.0,-696.0,114.0,47.0,-610.0,-692.0,-467.0,10.0,37.0
Operating Margin %,-210.9,-263.6,-602.6,-485.5,8.1,3.1,-50.3,-119.3,-45.2,0.6,1.6
Net Income USD Mil,-391.0,-460.0,-642.0,-755.0,30.0,-107.0,-445.0,-739.0,-556.0,-112.0,196.0
Earnings Per Share USD,-3.03,-3.27,-3.71,-3.77,0.14,-0.5,-1.98,-3.14,-2.31,-0.46,0.77
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,129.0,141.0,173.0,200.0,209.0,215.0,225.0,235.0,241.0,245.0,250.0
Book Value Per Share * USD,,,,,,,70.78,70.51,65.09,85.3,135.91
Operating Cash Flow USD Mil,-252.0,-226.0,-428.0,-635.0,144.0,268.0,-52.0,-513.0,-365.0,236.0,762.0
Cap Spending USD Mil,-32.0,-32.0,-23.0,-38.0,-95.0,-71.0,-51.0,-61.0,-125.0,-57.0,-232.0
Free Cash Flow USD Mil,-285.0,-259.0,-451.0,-673.0,49.0,197.0,-103.0,-574.0,-491.0,180.0,531.0
Free Cash Flow Per Share * USD,,,,,,,-6.21,-26.11,-38.27,-1.17,
Working Capital USD Mil,298.0,651.0,1022.0,582.0,939.0,1157.0,1191.0,1178.0,901.0,1039.0,
