Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,2540.0,2447.0,2691.0,3256.0,3654.0,3697.0,3679.0,3843.0,4231.0,5081.0,5081.0
Gross Margin %,100.0,100.0,100.0,,100.0,100.0,19.7,19.9,19.1,18.8,18.8
Operating Income GBP Mil,269.0,158.0,39.0,118.0,128.0,126.0,140.0,164.0,181.0,212.0,212.0
Operating Margin %,10.6,6.5,1.5,3.6,3.5,3.4,3.8,4.3,4.3,4.2,4.2
Net Income GBP Mil,188.0,105.0,9.0,80.0,87.0,72.0,91.0,105.0,125.0,139.0,139.0
Earnings Per Share GBP,0.13,0.07,0.01,0.06,0.06,0.05,0.06,0.07,0.08,0.1,0.1
Dividends GBP,0.05,0.06,0.06,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.03
Payout Ratio % *,39.4,75.3,,103.6,96.5,49.5,45.1,39.0,36.0,32.4,30.9
Shares Mil,1412.0,1371.0,1371.0,1400.0,1404.0,1417.0,1434.0,1441.0,1447.0,1458.0,1458.0
Book Value Per Share * GBP,0.09,0.11,0.1,0.14,0.12,0.15,0.14,0.16,0.2,0.34,0.4
Operating Cash Flow GBP Mil,172.0,200.0,47.0,45.0,111.0,78.0,102.0,132.0,103.0,134.0,134.0
Cap Spending GBP Mil,-22.0,-37.0,-30.0,-19.0,-19.0,-10.0,-12.0,-12.0,-15.0,-22.0,-22.0
Free Cash Flow GBP Mil,150.0,163.0,18.0,27.0,92.0,67.0,90.0,120.0,88.0,112.0,112.0
Free Cash Flow Per Share * GBP,0.11,0.12,0.01,0.02,0.03,0.06,0.06,0.07,0.05,0.09,
Working Capital GBP Mil,160.0,78.0,-64.0,129.0,114.0,134.0,147.0,168.0,229.0,304.0,
