Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,12.9,9.04,11.62,8.78,6.21,10.39,11.51,14.66,16.31,21.68,25.01
Accounts Receivable,24.33,22.45,16.74,22.14,16.51,23.45,18.0,20.66,20.13,22.78,21.75
Inventory,9.06,6.95,5.34,5.19,5.78,5.81,5.72,6.22,6.07,15.46,16.23
Other Current Assets,7.15,7.2,12.08,7.4,10.89,6.91,12.43,7.05,5.95,3.75,4.16
Total Current Assets,53.44,45.64,45.77,43.52,39.39,46.56,47.66,48.59,48.45,63.66,67.15
Net PP&E,8.79,9.56,9.81,9.45,9.49,10.99,10.85,10.99,10.38,5.98,5.35
Intangibles,29.15,35.56,34.59,37.21,42.81,32.72,32.45,32.23,32.7,19.38,17.61
Other Long-Term Assets,8.62,9.24,9.83,9.82,8.3,9.74,9.04,8.19,8.47,10.98,9.9
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,13.29,12.47,12.9,11.54,11.39,12.27,13.27,15.41,14.93,38.27,40.1
Short-Term Debt,3.59,8.98,1.61,5.66,6.24,6.11,5.66,3.38,2.7,0.27,3.33
Taxes Payable,,,0.79,3.23,2.67,3.78,3.7,3.18,2.99,3.4,3.18
Accrued Liabilities,15.68,15.27,16.77,4.15,12.89,13.85,14.33,14.45,13.05,19.72,19.36
Other Short-Term Liabilities,11.7,9.98,5.39,15.11,5.75,6.89,6.13,5.95,5.8,3.17,3.12
Total Current Liabilities,44.26,46.71,37.46,39.68,38.95,42.9,43.08,42.38,39.47,64.83,69.08
Long-Term Debt,5.63,6.77,12.18,12.26,17.41,20.03,15.72,15.54,20.38,23.3,21.12
Other Long-Term Liabilities,6.67,12.15,15.07,15.58,13.82,16.44,15.4,16.18,14.17,25.28,23.39
Total Liabilities,56.57,65.64,64.71,67.51,70.18,79.37,74.2,74.1,74.02,113.41,113.59
Total Stockholders' Equity,43.43,34.36,35.29,32.49,29.82,20.63,25.8,25.9,25.98,-13.41,-13.59
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
