Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.93,6.65,14.26,11.56,8.6,4.4,2.84,4.85,5.09,4.22,4.6
Accounts Receivable,20.32,18.78,16.13,18.4,20.1,20.5,19.96,19.59,18.49,18.72,21.78
Inventory,43.38,43.27,38.3,37.96,38.35,39.4,37.77,36.85,36.06,37.21,36.08
Other Current Assets,7.09,6.09,5.31,6.02,6.32,6.56,7.28,5.83,6.09,4.32,4.06
Total Current Assets,75.73,74.79,74.01,73.94,73.36,70.86,67.85,67.11,65.74,64.48,66.52
Net PP&E,23.78,24.86,25.24,24.75,25.85,28.44,31.55,32.38,32.34,33.71,30.65
Intangibles,,,,,,,,,,,
Other Long-Term Assets,0.49,0.35,0.75,1.31,0.78,0.7,0.6,0.51,1.93,1.81,2.83
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.76,4.9,4.03,4.12,4.38,4.3,4.4,4.4,4.97,4.07,5.07
Short-Term Debt,,,,,,,,3.82,2.45,0.39,0.28
Taxes Payable,,0.04,,0.36,0.12,,2.3,2.8,2.63,1.63,0.23
Accrued Liabilities,6.5,6.41,4.97,6.57,6.64,6.95,4.86,4.75,4.57,4.13,6.85
Other Short-Term Liabilities,0.59,,,,,,,0.13,0.11,0.1,
Total Current Liabilities,11.85,11.35,9.0,11.05,11.15,11.24,11.55,15.91,14.74,10.33,12.42
Long-Term Debt,,,,,,,,,11.96,14.22,14.89
Other Long-Term Liabilities,1.3,1.07,1.28,1.61,2.26,2.83,3.05,2.91,2.17,3.02,2.86
Total Liabilities,13.15,12.41,10.28,12.65,13.41,14.07,14.6,18.82,28.87,27.57,30.17
Total Stockholders' Equity,86.85,87.59,89.72,87.35,86.59,85.93,85.4,81.18,71.13,72.43,69.83
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
