Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,28.41,30.5,28.66,27.0,35.57,28.98,27.56,23.47,22.6,26.77,33.72
Accounts Receivable,5.52,5.98,6.04,7.05,5.78,4.46,5.6,7.13,9.06,10.92,7.43
Inventory,,,,,,,,,0.87,0.99,
Other Current Assets,3.18,2.7,3.23,3.91,3.11,3.18,2.71,4.77,1.26,2.45,2.8
Total Current Assets,37.11,39.18,37.93,37.96,44.47,36.62,35.87,35.37,33.79,41.13,43.96
Net PP&E,5.84,6.07,6.01,5.83,6.0,8.26,8.54,10.76,9.88,11.02,10.34
Intangibles,54.27,51.3,48.38,47.82,40.58,42.58,40.33,36.22,37.03,33.26,33.14
Other Long-Term Assets,2.79,3.44,7.68,8.38,8.96,12.54,15.25,17.65,19.3,14.59,12.56
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.18,3.48,3.2,3.45,3.25,2.13,1.94,2.79,1.85,2.29,2.11
Short-Term Debt,5.8,,,,,,,,3.48,,
Taxes Payable,,,0.46,0.3,0.13,0.08,,,,,
Accrued Liabilities,4.12,4.37,4.71,5.84,4.17,5.2,5.18,6.1,6.03,5.0,4.13
Other Short-Term Liabilities,6.94,6.86,9.76,7.8,7.14,7.05,6.84,9.29,9.55,10.69,10.03
Total Current Liabilities,20.04,14.7,18.13,17.38,14.69,14.46,13.96,18.18,20.91,17.98,16.27
Long-Term Debt,,,2.24,,10.01,11.31,9.68,16.05,19.13,22.1,21.92
Other Long-Term Liabilities,2.2,3.19,2.93,4.58,4.3,3.05,5.65,7.23,6.89,8.54,8.88
Total Liabilities,22.24,17.89,23.29,21.96,28.99,28.81,29.28,41.46,46.93,48.61,47.07
Total Stockholders' Equity,77.76,82.11,76.71,78.04,71.01,71.19,70.72,58.54,53.07,51.39,52.93
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
