Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,34.22,30.66,59.8,84.32,72.53,75.46,64.77,66.11,81.24,77.01,81.34
Accounts Receivable,5.19,4.34,2.56,0.61,0.81,0.56,0.51,1.78,1.52,1.22,0.57
Inventory,,,,,,,,,,,
Other Current Assets,4.08,28.14,6.83,4.18,4.67,3.66,2.49,1.28,0.71,0.69,0.81
Total Current Assets,43.49,63.14,69.19,89.11,78.0,79.68,67.77,69.17,83.47,78.92,82.73
Net PP&E,15.46,14.85,16.35,7.79,17.62,16.19,12.77,14.81,12.54,11.4,9.12
Intangibles,29.93,12.37,12.65,2.26,2.9,2.55,1.97,2.44,2.23,2.25,1.81
Other Long-Term Assets,11.12,9.63,1.82,0.84,1.48,1.58,17.49,13.58,1.77,7.44,6.34
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.23,10.24,1.4,0.57,1.04,1.14,0.93,1.36,0.99,0.83,0.63
Short-Term Debt,,,,,,,23.45,29.29,26.9,26.98,21.47
Taxes Payable,,,0.99,1.68,1.53,1.06,0.75,2.18,0.72,0.99,0.79
Accrued Liabilities,9.5,1.12,6.32,4.51,5.84,3.18,3.93,3.89,4.23,4.68,3.39
Other Short-Term Liabilities,13.79,26.6,27.16,19.95,27.09,28.31,47.2,52.4,30.91,31.72,26.52
Total Current Liabilities,23.52,37.96,35.89,26.71,35.5,33.7,76.26,89.13,63.75,65.19,52.8
Long-Term Debt,31.45,49.03,23.25,23.8,37.18,33.82,28.19,34.81,52.4,52.99,61.27
Other Long-Term Liabilities,7.05,11.03,18.6,21.82,32.07,32.93,11.47,17.07,29.26,33.24,28.22
Total Liabilities,62.02,98.03,77.74,72.32,104.75,100.45,115.92,141.0,145.4,151.43,142.29
Total Stockholders' Equity,37.98,1.97,22.26,27.68,-4.75,-0.45,-15.92,-41.0,-45.4,-51.43,-42.29
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
