Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,14.34,18.82,24.68,21.02,21.92,23.96,21.1,17.31,17.46,23.94,26.85
Accounts Receivable,11.65,10.9,8.21,10.05,10.42,9.55,12.3,13.41,9.25,11.92,8.97
Inventory,11.79,12.05,10.84,14.1,15.54,16.54,16.75,17.07,18.11,14.0,14.34
Other Current Assets,5.6,5.44,5.22,4.59,5.66,4.63,4.52,6.65,4.31,2.41,4.98
Total Current Assets,43.37,47.21,48.95,49.75,53.54,54.68,54.66,54.44,49.14,52.27,55.15
Net PP&E,16.26,14.96,15.0,15.84,16.32,17.2,21.71,23.52,25.48,23.28,20.58
Intangibles,30.34,30.19,29.03,28.19,25.16,23.92,20.74,19.16,18.7,19.89,18.92
Other Long-Term Assets,10.03,7.64,7.01,6.23,4.97,4.2,2.89,2.88,6.68,4.55,5.35
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.71,3.81,3.22,4.31,3.33,2.71,3.33,3.44,2.43,2.61,2.87
Short-Term Debt,4.73,,,,,4.92,,3.83,1.87,,4.95
Taxes Payable,,0.82,0.81,0.18,1.33,1.74,2.51,2.21,2.77,3.57,4.47
Accrued Liabilities,8.57,10.84,10.95,11.27,12.81,9.91,8.49,8.3,10.0,12.48,11.7
Other Short-Term Liabilities,2.81,,1.09,0.94,,1.42,1.59,1.64,2.22,1.86,2.39
Total Current Liabilities,20.81,15.47,16.07,16.7,17.47,20.7,15.93,19.42,19.28,20.52,26.38
Long-Term Debt,10.83,9.33,6.07,5.86,5.07,,4.93,4.88,9.61,10.41,4.84
Other Long-Term Liabilities,13.62,12.42,10.82,11.09,10.03,9.46,12.91,11.97,10.85,10.69,10.56
Total Liabilities,45.26,37.22,32.96,33.66,32.57,30.15,33.76,36.28,39.74,41.62,41.78
Total Stockholders' Equity,54.74,62.78,67.04,66.34,67.43,69.85,66.24,63.72,60.26,58.38,58.22
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
