Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,34.01,14.93,11.01,12.66,8.41,4.47,6.82,3.93
Accounts Receivable,,,,20.82,26.94,26.42,26.62,26.84,25.2,26.03,24.95
Inventory,,,,8.92,11.55,10.48,9.89,10.27,9.86,10.02,11.59
Other Current Assets,,,,5.43,6.85,3.47,2.9,3.09,3.24,1.22,6.9
Total Current Assets,,,,69.18,60.27,51.37,52.07,48.61,42.77,44.09,47.37
Net PP&E,,,,18.65,25.36,28.11,29.11,31.11,28.21,28.6,26.96
Intangibles,,,,6.0,6.53,12.54,11.03,13.05,24.4,22.36,20.35
Other Long-Term Assets,,,,6.17,7.84,7.99,7.78,7.23,4.62,4.96,5.32
Total Assets,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,20.18,26.26,22.39,23.49,24.02,21.22,20.85,19.38
Short-Term Debt,,,,1.97,1.17,1.38,0.55,0.32,0.43,0.1,0.11
Taxes Payable,,,,1.99,2.82,2.56,2.53,2.44,1.85,1.53,1.53
Accrued Liabilities,,,,7.2,7.65,8.15,8.17,8.42,7.0,10.66,7.9
Other Short-Term Liabilities,,,,2.23,2.77,1.48,0.5,1.0,2.29,0.61,0.33
Total Current Liabilities,,,,33.56,40.67,35.96,35.25,36.19,32.8,33.75,29.25
Long-Term Debt,,,,,21.87,22.84,21.28,22.49,33.04,32.21,34.48
Other Long-Term Liabilities,,,,15.54,18.97,18.16,17.12,17.96,15.37,14.51,13.67
Total Liabilities,,,,49.1,81.51,76.96,73.65,76.64,81.21,80.47,77.39
Total Stockholders' Equity,,,,50.9,18.49,23.04,26.35,23.36,18.79,19.53,22.61
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
