Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,14.21,16.2,20.68,22.41,22.75,23.47,34.39,40.83,30.17,28.18,25.56
Accounts Receivable,10.8,14.62,16.84,17.12,16.19,15.64,12.04,9.22,8.48,9.19,8.65
Inventory,11.34,10.84,10.27,11.52,13.19,12.65,11.34,8.42,8.37,8.79,9.81
Other Current Assets,6.88,7.76,7.25,7.38,6.87,6.39,5.58,6.64,3.43,3.5,2.74
Total Current Assets,43.25,49.41,55.04,58.43,59.0,58.15,63.34,65.11,50.45,49.67,46.76
Net PP&E,16.97,16.43,15.6,15.27,15.36,16.8,15.47,12.57,11.89,12.86,11.84
Intangibles,35.15,29.47,24.88,21.63,21.04,20.33,16.24,11.33,20.54,18.42,25.42
Other Long-Term Assets,4.64,4.69,4.48,4.67,4.59,4.71,4.94,10.99,17.13,19.05,15.98
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.75,4.69,3.16,2.69,4.29,3.36,1.78,1.65,1.57,2.15,2.07
Short-Term Debt,11.15,,,2.37,,,,,,,
Taxes Payable,,0.44,2.22,1.26,1.89,1.82,,1.19,1.21,0.91,2.04
Accrued Liabilities,12.01,13.33,12.6,12.79,10.31,10.06,10.91,9.18,8.38,8.67,8.06
Other Short-Term Liabilities,,,,,0.43,0.39,,0.31,0.57,0.07,1.23
Total Current Liabilities,27.91,18.46,17.98,19.11,16.93,15.64,12.68,12.33,11.73,11.81,13.4
Long-Term Debt,4.59,12.53,5.59,,7.59,8.52,21.77,16.97,14.78,18.23,18.84
Other Long-Term Liabilities,5.43,6.24,4.75,6.86,7.93,9.25,8.32,8.52,11.83,11.89,10.14
Total Liabilities,37.92,37.24,28.33,25.97,32.45,33.41,42.78,37.82,38.34,41.93,42.38
Total Stockholders' Equity,62.08,62.76,71.67,74.03,67.55,66.59,57.22,62.18,61.66,58.07,57.62
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
