Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,1.85,1.19,1.22,1.99,2.77,3.31,5.38,4.11,2.82,2.88,2.83
Accounts Receivable,63.65,55.67,55.29,5.29,5.79,6.81,7.7,7.52,7.57,6.88,7.11
Inventory,,,,,,,,,,,
Other Current Assets,11.74,,10.77,62.76,61.3,62.0,57.61,58.68,55.97,35.84,38.69
Total Current Assets,77.24,56.87,67.29,70.04,69.86,72.11,70.68,70.31,66.37,45.59,48.62
Net PP&E,2.43,1.9,2.25,2.4,2.58,3.1,3.25,3.13,2.99,2.77,2.9
Intangibles,13.33,24.13,24.64,23.89,23.62,21.25,21.56,21.94,25.76,48.86,45.13
Other Long-Term Assets,7.0,17.11,5.82,3.66,3.94,3.53,4.51,4.61,4.89,2.78,3.35
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,71.56,62.88,62.0,,,0.58,0.83,0.85,0.96,0.39,
Short-Term Debt,,4.79,1.34,0.69,0.1,0.1,0.1,1.08,5.24,1.68,0.26
Taxes Payable,,,0.29,0.36,0.1,0.42,0.49,0.5,0.55,0.3,
Accrued Liabilities,,,,,,0.22,0.18,,,0.66,
Other Short-Term Liabilities,3.37,4.32,2.11,64.0,63.36,66.13,62.42,63.86,61.2,41.17,44.84
Total Current Liabilities,74.92,71.99,65.74,65.05,63.56,67.46,64.01,66.29,67.95,44.19,45.1
Long-Term Debt,9.65,11.37,13.86,13.61,14.97,15.47,15.61,13.88,12.09,11.1,13.92
Other Long-Term Liabilities,5.02,5.4,6.45,5.07,5.67,5.83,5.41,6.97,8.13,11.44,10.25
Total Liabilities,89.6,88.75,86.05,83.74,84.19,88.76,85.03,87.14,88.17,66.73,69.28
Total Stockholders' Equity,10.4,11.25,13.95,16.26,15.81,11.24,14.97,12.86,11.83,33.27,30.72
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
