Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,125.0,238.0,379.0,459.0,446.0,1378.0,2105.0,2820.0,4104.0,4860.0,5517.0
Gross Margin %,100.0,99.6,99.6,99.5,99.1,93.9,92.6,92.7,90.4,93.8,93.4
Operating Income USD Mil,-114.0,-86.0,-74.0,-97.0,-205.0,458.0,743.0,824.0,1252.0,1331.0,1888.0
Operating Margin %,-91.5,-36.2,-19.5,-21.2,-46.0,33.2,35.3,29.2,30.5,27.4,34.2
Net Income USD Mil,-105.0,-79.0,-68.0,-104.0,-222.0,750.0,414.0,338.0,636.0,896.0,1278.0
Earnings Per Share USD,-1.59,-1.0,-0.85,-1.26,-2.45,6.75,3.72,2.98,5.52,7.7,11.03
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,66.0,79.0,80.0,83.0,91.0,115.0,111.0,113.0,115.0,116.0,116.0
Book Value Per Share * USD,,,,,,,,,,878.36,1080.92
Operating Cash Flow USD Mil,27.0,-89.0,-72.0,96.0,-142.0,-75.0,584.0,743.0,1331.0,1473.0,1118.0
Cap Spending USD Mil,-18.0,-35.0,-97.0,-100.0,-57.0,-49.0,-156.0,-333.0,-678.0,-512.0,-315.0
Free Cash Flow USD Mil,9.0,-124.0,-170.0,-3.0,-199.0,-124.0,427.0,410.0,653.0,961.0,803.0
Free Cash Flow Per Share * USD,,,,,,,,,,149.4,
Working Capital USD Mil,514.0,438.0,332.0,249.0,505.0,1042.0,1498.0,1513.0,2104.0,1939.0,
