Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,2.09,0.75,0.56,0.59,6.57,4.32,3.81,3.83,1.74,2.03,0.5
Accounts Receivable,5.81,3.95,3.58,3.64,3.7,3.15,3.27,3.26,3.5,3.88,4.0
Inventory,38.68,37.44,40.01,40.09,36.1,39.59,39.15,39.06,39.41,38.57,39.94
Other Current Assets,1.78,2.58,2.42,1.28,1.03,0.48,0.51,0.74,0.43,0.74,0.46
Total Current Assets,48.35,44.72,46.57,45.59,47.41,47.54,46.73,46.89,45.08,45.22,44.9
Net PP&E,47.82,34.58,36.11,38.24,38.07,38.47,39.97,40.65,42.86,43.36,44.02
Intangibles,2.21,17.18,15.57,14.74,13.52,13.58,12.77,11.79,11.53,11.06,10.53
Other Long-Term Assets,1.62,3.52,1.76,1.44,1.0,0.41,0.53,0.66,0.53,0.36,0.55
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,16.7,17.58,17.11,17.74,23.26,33.55,33.9,36.96,39.06,40.76,42.17
Short-Term Debt,1.11,0.19,2.23,0.03,0.01,,,,,,
Taxes Payable,,,0.17,0.1,,0.1,,,0.02,,0.08
Accrued Liabilities,1.63,2.37,1.82,1.95,1.71,1.78,1.76,2.16,1.97,2.03,1.96
Other Short-Term Liabilities,3.76,4.99,4.42,4.53,3.75,4.09,4.28,4.16,4.57,4.41,4.3
Total Current Liabilities,23.2,25.12,25.75,24.35,28.72,39.53,39.94,43.28,45.63,47.2,48.51
Long-Term Debt,3.3,17.28,14.31,7.08,14.49,19.06,23.01,21.35,20.82,26.19,38.78
Other Long-Term Liabilities,3.65,3.17,3.77,4.99,5.07,4.74,4.64,4.51,4.18,4.02,4.49
Total Liabilities,30.15,45.57,43.83,36.41,48.28,63.33,67.59,69.14,70.62,77.41,91.79
Total Stockholders' Equity,69.85,54.43,56.17,63.59,51.72,36.67,32.41,30.86,29.38,22.59,8.21
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
