Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,39474.0,43251.0,43232.0,57838.0,66504.0,65492.0,66415.0,66683.0,63056.0,62799.0,63514.0
Gross Margin %,54.3,52.9,53.5,54.1,52.5,52.2,53.0,53.2,54.4,55.1,54.9
Operating Income USD Mil,7170.0,6959.0,8044.0,8332.0,9633.0,9112.0,9705.0,9581.0,8353.0,9785.0,10297.0
Operating Margin %,18.2,16.1,18.6,14.4,14.5,13.9,14.6,14.4,13.2,15.6,16.2
Net Income USD Mil,5658.0,5142.0,5946.0,6320.0,6443.0,6178.0,6740.0,6513.0,5452.0,6329.0,6968.0
Earnings Per Share USD,3.41,3.21,3.77,3.91,4.03,3.92,4.32,4.27,3.67,4.36,4.84
Dividends USD,,,,2.76,2.02,2.13,2.24,2.53,2.76,2.96,3.12
Payout Ratio % *,,,,57.7,49.8,56.1,51.9,54.1,80.6,63.8,64.3
Shares Mil,1658.0,1602.0,1577.0,1614.0,1597.0,1575.0,1560.0,1527.0,1485.0,1452.0,1440.0
Book Value Per Share * USD,6.92,7.37,6.8,9.52,11.62,10.46,10.58,12.73,8.48,8.32,7.94
Operating Cash Flow USD Mil,6934.0,6999.0,6796.0,8448.0,8944.0,8479.0,9688.0,10506.0,10580.0,10404.0,9642.0
Cap Spending USD Mil,-2430.0,-2446.0,-2128.0,-3253.0,-3339.0,-2714.0,-2795.0,-2859.0,-2758.0,-3040.0,-2948.0
Free Cash Flow USD Mil,4504.0,4553.0,4668.0,5195.0,5605.0,5765.0,6893.0,7647.0,7822.0,7364.0,6694.0
Free Cash Flow Per Share * USD,1.95,1.69,2.02,2.59,2.38,2.6,3.36,3.69,4.77,4.89,
Working Capital USD Mil,2398.0,2019.0,3815.0,1677.0,-713.0,1631.0,4364.0,2571.0,5453.0,5954.0,
