Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,7.27,7.08,13.44,7.98,7.83,31.78,37.53,18.26,12.66,13.73,14.32
Accounts Receivable,15.14,13.2,11.87,12.56,11.51,10.7,10.04,6.04,6.27,5.6,6.09
Inventory,5.77,6.03,5.27,5.57,5.44,4.91,4.55,3.25,3.48,3.34,3.85
Other Current Assets,4.82,5.22,4.44,3.85,3.97,3.68,3.78,1.36,1.24,2.24,2.38
Total Current Assets,32.98,31.53,35.03,29.97,28.76,51.07,55.9,28.91,23.65,24.92,26.64
Net PP&E,10.01,9.63,8.62,8.25,7.48,7.15,6.3,4.4,4.85,4.37,4.7
Intangibles,43.75,45.1,38.98,40.47,38.03,37.32,33.94,64.33,68.55,62.04,65.32
Other Long-Term Assets,13.26,13.74,17.37,21.31,25.74,4.47,3.85,2.35,2.95,8.68,3.34
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.73,1.61,1.5,1.68,1.71,1.79,1.96,1.51,1.71,1.73,1.82
Short-Term Debt,5.2,2.21,9.17,5.66,9.9,2.61,4.25,2.28,1.0,7.53,3.31
Taxes Payable,,0.55,0.84,0.16,0.2,0.25,0.43,0.88,0.57,0.63,0.92
Accrued Liabilities,9.0,8.93,6.73,7.99,5.8,6.47,7.96,3.82,3.91,4.31,5.06
Other Short-Term Liabilities,,,,,0.1,0.05,0.05,0.11,,0.04,
Total Current Liabilities,15.92,13.3,18.23,15.49,17.7,11.17,14.65,8.6,7.18,14.25,11.11
Long-Term Debt,26.14,28.62,24.72,26.66,22.24,27.96,27.19,31.64,30.31,25.97,27.46
Other Long-Term Liabilities,5.97,3.77,4.97,5.36,8.32,7.28,6.92,9.87,10.33,9.4,6.94
Total Liabilities,48.03,45.69,47.92,47.52,48.27,46.41,48.76,50.11,47.82,49.61,45.51
Total Stockholders' Equity,51.97,54.31,52.08,52.48,51.73,53.59,51.24,49.89,52.18,50.39,54.49
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
