Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,1036.0,903.0,948.0,1487.0,1383.0,1582.0,1931.0,2147.0,2173.0,3408.0,3721.0
Gross Margin %,60.3,57.2,56.4,59.3,57.8,53.0,58.4,57.3,55.5,51.6,59.0
Operating Income USD Mil,302.0,233.0,245.0,474.0,397.0,179.0,459.0,426.0,352.0,276.0,719.0
Operating Margin %,29.1,25.8,25.8,31.9,28.7,11.3,23.8,19.8,16.2,8.1,19.3
Net Income USD Mil,298.0,246.0,217.0,419.0,337.0,127.0,395.0,369.0,324.0,165.0,604.0
Earnings Per Share USD,1.4,1.31,1.16,2.15,1.65,0.62,1.82,1.65,1.49,0.71,2.56
Dividends USD,1.21,1.35,1.35,1.37,1.39,1.4,1.42,1.43,1.43,1.44,1.45
Payout Ratio % *,86.1,101.2,117.1,62.5,54.5,194.7,88.4,83.2,87.8,319.8,56.6
Shares Mil,212.0,187.0,187.0,195.0,204.0,206.0,218.0,224.0,217.0,235.0,249.0
Book Value Per Share * USD,5.62,5.44,8.27,9.56,10.05,9.81,10.38,11.17,10.42,11.2,15.16
Operating Cash Flow USD Mil,447.0,309.0,452.0,583.0,396.0,446.0,677.0,721.0,744.0,1059.0,1308.0
Cap Spending USD Mil,-70.0,-102.0,-48.0,-124.0,-62.0,-51.0,-113.0,-149.0,-98.0,-75.0,-121.0
Free Cash Flow USD Mil,377.0,206.0,404.0,458.0,334.0,395.0,563.0,572.0,647.0,984.0,1188.0
Free Cash Flow Per Share * USD,1.78,1.1,2.16,2.35,1.8,1.87,2.3,2.65,2.79,3.79,
Working Capital USD Mil,1527.0,1587.0,1408.0,1435.0,1768.0,1895.0,1633.0,2311.0,2715.0,1601.0,
