Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,111.0,138.0,139.0,171.0,0.0,5.0,22.0,48.0,67.0,68.0,64.0
Gross Margin %,14.3,23.4,24.6,32.1,21.3,36.9,36.7,36.5,31.6,24.8,19.8
Operating Income USD Mil,-16.0,1.0,11.0,27.0,-0.0,-3.0,2.0,2.0,3.0,-8.0,-8.0
Operating Margin %,-14.1,0.7,8.0,15.6,-16.6,-59.4,10.1,3.5,4.2,-11.1,-12.2
Net Income USD Mil,7.0,-10.0,-1.0,4.0,16.0,-28.0,-0.0,-11.0,-15.0,-23.0,-15.0
Earnings Per Share USD,0.2,-0.12,-0.01,0.05,0.1,-0.14,,-0.02,-0.03,-0.04,-0.03
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,35.0,79.0,79.0,82.0,142.0,200.0,419.0,517.0,569.0,606.0,610.0
Book Value Per Share * USD,0.76,0.82,0.7,0.65,0.53,0.38,0.27,0.15,0.13,0.08,0.01
Operating Cash Flow USD Mil,6.0,5.0,25.0,38.0,10.0,1.0,3.0,15.0,18.0,25.0,14.0
Cap Spending USD Mil,-7.0,-4.0,-8.0,-6.0,-11.0,-1.0,-3.0,-20.0,-27.0,-28.0,-31.0
Free Cash Flow USD Mil,-0.0,1.0,17.0,32.0,-1.0,1.0,-0.0,-5.0,-9.0,-3.0,-17.0
Free Cash Flow Per Share * USD,-0.01,0.01,0.14,0.25,0.19,,,,-0.01,-0.01,
Working Capital USD Mil,20.0,-18.0,-21.0,-30.0,-40.0,-8.0,-1.0,-2.0,-1.0,-24.0,
