Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,15393.0,16554.0,18254.0,20732.0,22171.0,25364.0,23939.0,22728.0,20872.0,22559.0,22198.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,2499.0,1914.0,2235.0,3561.0,2950.0,4302.0,4816.0,4491.0,3862.0,4067.0,4172.0
Operating Margin %,16.2,11.6,12.2,17.2,13.3,17.0,20.1,19.8,18.5,18.0,18.8
Net Income USD Mil,1634.0,1254.0,1497.0,2328.0,1937.0,2866.0,3158.0,2951.0,2533.0,2659.0,2772.0
Earnings Per Share USD,3.31,2.62,3.19,4.92,4.12,6.11,6.76,6.5,5.85,6.42,6.88
Dividends USD,,,,0.93,1.23,1.34,1.42,1.5,1.58,1.25,1.29
Payout Ratio % *,,,,13.9,30.5,21.8,21.4,23.2,27.3,19.5,18.8
Shares Mil,494.0,479.0,469.0,473.0,469.0,469.0,467.0,454.0,433.0,414.0,403.0
Book Value Per Share * USD,12.1,9.88,11.73,17.93,21.05,25.8,23.2,33.2,37.22,53.11,47.61
Operating Cash Flow USD Mil,4656.0,4965.0,6161.0,6989.0,10842.0,14952.0,10547.0,6550.0,6776.0,5987.0,6463.0
Cap Spending USD Mil,-46.0,-49.0,,,,,,,,,
Free Cash Flow USD Mil,4610.0,4916.0,6161.0,6989.0,10842.0,14952.0,10547.0,6550.0,6776.0,5987.0,6463.0
Free Cash Flow Per Share * USD,6.14,7.19,8.44,10.61,15.75,23.85,16.54,14.3,14.07,13.85,
Working Capital USD Mil,,,,,,,,,,,
