Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,44.48,6.25,8.41,3.5,5.57,7.88,4.67,23.12,4.23,4.58,4.89
Accounts Receivable,8.37,2.67,2.81,1.84,2.19,3.65,3.12,3.22,2.66,3.03,2.12
Inventory,,,,,,,,,,,
Other Current Assets,3.6,33.9,20.99,47.16,38.89,4.81,17.36,1.79,20.79,24.61,29.12
Total Current Assets,56.45,42.82,32.21,52.51,46.65,16.34,25.15,28.13,27.69,32.23,36.13
Net PP&E,2.17,1.44,1.53,1.01,1.37,2.31,2.13,2.42,2.72,2.56,2.51
Intangibles,39.01,47.86,59.98,42.24,47.61,76.49,68.16,63.0,62.0,57.39,54.7
Other Long-Term Assets,2.37,7.89,6.28,4.24,4.37,4.86,4.56,6.45,7.59,7.82,6.65
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,7.34,1.91,,,1.16,1.88,1.81,,,,
Short-Term Debt,,1.77,2.1,0.86,0.32,0.49,0.36,,,,1.02
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,2.99,2.54,1.9,0.75,0.94,1.22,1.22,1.18,1.44,1.46,0.86
Other Short-Term Liabilities,3.47,33.65,22.74,49.17,40.37,6.56,18.87,23.47,23.38,27.39,29.45
Total Current Liabilities,13.8,39.87,26.74,50.79,42.79,10.15,22.26,24.65,24.82,28.85,31.34
Long-Term Debt,3.98,18.07,17.41,13.46,14.7,21.15,20.59,19.14,19.93,25.46,23.81
Other Long-Term Liabilities,8.1,8.65,9.9,6.65,7.19,11.67,7.98,8.28,7.96,7.31,6.8
Total Liabilities,25.88,66.59,54.05,70.89,64.69,42.97,50.83,52.07,52.71,61.63,61.95
Total Stockholders' Equity,74.12,33.41,45.95,29.11,35.31,57.03,49.17,47.93,47.29,38.37,38.05
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
