Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3.0,7.0,9.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
Gross Margin %,100.0,48.1,66.9,75.2,72.3,100.0,100.0,100.0,100.0,100.0,100.0
Operating Income USD Mil,-3.0,-3.0,-1.0,-2.0,1.0,-6.0,-3.0,-3.0,-4.0,-3.0,-3.0
Operating Margin %,-104.8,-47.7,-10.3,-46.8,16.9,-460.9,-253.4,-620.9,-800.3,,
Net Income USD Mil,10.0,-1.0,-3.0,-27.0,-1.0,-7.0,-6.0,-13.0,6.0,-17.0,-15.0
Earnings Per Share USD,0.1,-0.01,-0.02,-0.2,-0.01,-0.05,-0.04,-0.09,0.02,-0.09,-0.08
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,108.0,130.0,131.0,165.0,166.0,168.0,178.0,213.0,179.0,198.0,199.0
Book Value Per Share * USD,0.22,0.3,0.26,0.14,0.14,0.09,0.07,0.03,0.13,0.05,-0.01
Operating Cash Flow USD Mil,-1.0,-2.0,2.0,-2.0,-3.0,-3.0,-2.0,-2.0,-3.0,-4.0,-3.0
Cap Spending USD Mil,-2.0,-0.0,-0.0,-0.0,,-0.0,,,,,
Free Cash Flow USD Mil,-3.0,-2.0,2.0,-2.0,-3.0,-3.0,-2.0,-2.0,-3.0,-4.0,-3.0
Free Cash Flow Per Share * USD,-0.02,-0.01,0.01,-0.01,,-0.01,-0.01,-0.01,,-0.01,
Working Capital USD Mil,3.0,0.0,1.0,-2.0,-2.0,-19.0,-21.0,-27.0,-27.0,-29.0,
