Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,,,64.0,74.0,82.0,87.0,90.0,92.0,98.0,101.0,100.0
Gross Margin %,,,69.0,69.3,68.5,67.6,69.8,69.1,70.0,70.4,70.2
Operating Income EUR Mil,,,8.0,12.0,14.0,11.0,13.0,13.0,16.0,15.0,15.0
Operating Margin %,,,12.8,15.7,16.8,13.1,14.7,14.0,16.2,15.2,15.5
Net Income EUR Mil,,,4.0,8.0,9.0,10.0,9.0,9.0,11.0,10.0,22.0
Earnings Per Share EUR,,,0.45,0.88,0.92,1.0,0.95,0.93,1.18,1.0,2.26
Dividends EUR,,,,,,,,,,0.5,0.5
Payout Ratio % *,,,,,,,,,,,22.1
Shares Mil,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Book Value Per Share * EUR,,,,,,,,,,,7.87
Operating Cash Flow EUR Mil,,,9.0,12.0,14.0,9.0,11.0,12.0,13.0,12.0,11.0
Cap Spending EUR Mil,,,-1.0,-4.0,-2.0,-3.0,-3.0,-4.0,-10.0,-7.0,-6.0
Free Cash Flow EUR Mil,,,8.0,7.0,12.0,6.0,8.0,7.0,3.0,6.0,6.0
Free Cash Flow Per Share * EUR,,,,,,,,,,,
Working Capital EUR Mil,,,9.0,11.0,17.0,11.0,13.0,15.0,19.0,24.0,
