Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1205.0,1365.0,1670.0,2163.0,3205.0,3609.0,4375.0,5505.0,6780.0,8831.0,10884.0
Gross Margin %,34.8,33.3,35.4,37.2,36.3,26.5,28.7,31.8,32.3,31.7,33.8
Operating Income USD Mil,91.0,122.0,192.0,284.0,376.0,50.0,228.0,403.0,306.0,380.0,747.0
Operating Margin %,7.6,8.9,11.5,13.1,11.7,1.4,5.2,7.3,4.5,4.3,6.9
Net Income USD Mil,67.0,83.0,116.0,161.0,226.0,17.0,112.0,267.0,123.0,187.0,440.0
Earnings Per Share USD,0.14,0.19,0.28,0.42,0.59,0.04,0.26,0.62,0.28,0.43,1.0
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,482.0,440.0,409.0,380.0,381.0,412.0,425.0,432.0,436.0,439.0,445.0
Book Value Per Share * USD,,,,,,24.95,37.76,60.15,88.05,121.92,147.56
Operating Cash Flow USD Mil,292.0,284.0,325.0,276.0,318.0,23.0,98.0,16.0,-749.0,-1474.0,-1855.0
Cap Spending USD Mil,-45.0,-208.0,-46.0,-34.0,-50.0,-41.0,-54.0,-145.0,-91.0,-108.0,-213.0
Free Cash Flow USD Mil,247.0,76.0,279.0,242.0,268.0,-19.0,44.0,-128.0,-841.0,-1582.0,-2068.0
Free Cash Flow Per Share * USD,,,,,,-0.59,-0.95,0.63,-28.68,-57.77,
Working Capital USD Mil,204.0,145.0,185.0,252.0,606.0,565.0,905.0,1277.0,1902.0,1134.0,
