Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,0.0,,,,18.0,23.0,25.0,17.0,18.0,18.0
Gross Margin %,,-719.4,,,,86.2,88.5,87.7,84.9,88.0,88.0
Operating Income AUD Mil,-30.0,-50.0,-27.0,-25.0,-18.0,1.0,10.0,8.0,1.0,4.0,4.0
Operating Margin %,,,,,,7.5,45.0,33.0,9.1,19.5,19.5
Net Income AUD Mil,10.0,-22.0,-5.0,-5.0,2.0,2.0,7.0,13.0,55.0,11.0,11.0
Earnings Per Share AUD,0.08,-0.18,-0.04,-0.04,0.01,0.01,0.04,0.06,0.18,0.04,0.04
Dividends AUD,0.14,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
Payout Ratio % *,184.4,,,,136.3,113.0,59.7,34.7,31.1,,71.4
Shares Mil,119.0,122.0,116.0,142.0,168.0,145.0,189.0,225.0,298.0,302.0,302.0
Book Value Per Share * AUD,0.49,0.29,0.24,0.2,0.2,0.21,0.24,0.2,0.34,0.34,0.36
Operating Cash Flow AUD Mil,15.0,9.0,2.0,6.0,4.0,2.0,9.0,10.0,12.0,9.0,9.0
Cap Spending AUD Mil,-3.0,-1.0,-0.0,-0.0,-0.0,-0.0,-2.0,-2.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,12.0,8.0,2.0,5.0,3.0,2.0,7.0,8.0,12.0,9.0,9.0
Free Cash Flow Per Share * AUD,0.1,0.06,0.01,0.03,0.02,0.02,-0.01,0.06,-0.05,0.11,
Working Capital AUD Mil,34.0,22.0,19.0,27.0,23.0,23.0,47.0,24.0,56.0,10.0,
