Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,385.0,478.0,517.0,580.0,691.0,798.0,861.0,936.0,943.0,988.0,1064.0
Gross Margin %,79.7,80.9,81.2,82.6,82.8,82.5,83.0,83.6,84.4,85.1,86.1
Operating Income USD Mil,127.0,170.0,183.0,219.0,266.0,294.0,322.0,347.0,354.0,376.0,387.0
Operating Margin %,32.9,35.5,35.5,37.8,38.4,36.9,37.4,37.1,37.5,38.1,36.4
Net Income USD Mil,82.0,112.0,116.0,153.0,181.0,203.0,245.0,255.0,253.0,266.0,277.0
Earnings Per Share USD,1.02,1.29,1.27,1.64,1.91,2.14,2.58,2.7,2.76,2.99,3.18
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,81.0,87.0,92.0,93.0,94.0,95.0,95.0,94.0,92.0,89.0,87.0
Book Value Per Share * USD,8.2,13.19,14.64,16.69,18.27,20.94,22.62,24.85,25.09,26.02,26.95
Operating Cash Flow USD Mil,127.0,197.0,174.0,167.0,308.0,298.0,333.0,385.0,368.0,357.0,417.0
Cap Spending USD Mil,-11.0,-17.0,-8.0,-14.0,-22.0,-24.0,-29.0,-26.0,-16.0,-12.0,-19.0
Free Cash Flow USD Mil,116.0,180.0,165.0,153.0,286.0,274.0,304.0,359.0,351.0,344.0,398.0
Free Cash Flow Per Share * USD,1.43,2.08,1.8,1.64,1.99,2.89,3.13,3.62,3.62,3.97,
Working Capital USD Mil,109.0,129.0,249.0,403.0,301.0,436.0,627.0,645.0,592.0,630.0,
