Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,2480.0,2783.0,3923.0,3843.0,3911.0,4349.0,2725.0,2441.0,2843.0
Gross Margin %,,,7.9,7.6,4.3,4.4,4.1,4.7,7.6,10.2,10.3
Operating Income USD Mil,,,-97.0,-113.0,-183.0,-120.0,-35.0,10.0,59.0,92.0,125.0
Operating Margin %,,,-3.9,-4.1,-4.7,-3.1,-0.9,0.2,2.2,3.8,4.4
Net Income USD Mil,,,-174.0,-199.0,-257.0,-163.0,-95.0,-59.0,63.0,56.0,91.0
Earnings Per Share USD,,,-0.01,-0.01,-0.01,,,,,,
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,21099.0,24388.0,33306.0,44109.0,44109.0,44109.0,44109.0,44109.0,44109.0
Book Value Per Share * USD,,,,,-0.01,0.03,0.04,0.03,0.04,,
Operating Cash Flow USD Mil,,,-228.0,97.0,117.0,24.0,117.0,78.0,55.0,173.0,215.0
Cap Spending USD Mil,,,-200.0,-196.0,-173.0,-167.0,-66.0,-71.0,-66.0,-61.0,-90.0
Free Cash Flow USD Mil,,,-428.0,-99.0,-55.0,-143.0,52.0,7.0,-11.0,111.0,125.0
Free Cash Flow Per Share * USD,,,-0.06,-0.01,-0.01,-0.01,-0.01,,,,
Working Capital USD Mil,,,-890.0,-1121.0,-1435.0,-821.0,-703.0,-789.0,-607.0,-545.0,
