Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,5.76,3.78,5.99,3.5,2.93,1.91,1.42,5.55,3.3,2.19
Accounts Receivable,,11.19,11.43,10.03,12.3,13.03,11.95,14.28,12.08,9.53,8.99
Inventory,,10.24,10.32,10.75,12.04,12.78,10.93,10.39,8.76,7.07,7.11
Other Current Assets,,3.31,4.89,4.08,2.93,3.97,4.56,16.63,2.68,1.76,1.99
Total Current Assets,,30.5,30.42,30.85,30.77,32.71,29.35,42.72,29.07,21.66,20.29
Net PP&E,,10.22,10.39,10.48,11.19,11.71,10.92,11.24,8.91,6.69,6.45
Intangibles,,53.94,52.92,52.88,53.01,48.11,43.53,40.26,56.59,68.19,70.51
Other Long-Term Assets,,5.35,6.27,5.79,5.02,7.47,16.21,5.78,5.43,3.46,2.76
Total Assets,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,5.63,4.8,4.89,6.06,6.52,7.04,5.7,4.98,2.71,2.23
Short-Term Debt,,1.5,1.79,1.47,7.07,3.33,2.91,17.66,4.84,0.97,2.21
Taxes Payable,,0.89,0.64,0.13,0.37,0.28,0.33,1.01,0.41,0.28,0.04
Accrued Liabilities,,4.7,,,,,5.15,6.68,5.38,5.7,5.09
Other Short-Term Liabilities,,2.12,8.67,9.19,8.6,8.25,3.97,2.35,2.89,4.86,4.34
Total Current Liabilities,,14.84,15.91,15.69,22.1,18.38,19.4,33.4,18.51,14.52,13.91
Long-Term Debt,,49.62,46.15,45.62,38.62,44.73,49.79,36.09,28.27,43.78,39.06
Other Long-Term Liabilities,,9.57,8.96,7.47,9.18,8.89,11.5,10.02,9.37,9.69,9.91
Total Liabilities,,74.03,71.01,68.78,69.89,72.0,80.69,79.51,56.15,67.99,62.89
Total Stockholders' Equity,,25.97,28.99,31.22,30.11,28.0,19.31,20.49,43.85,32.01,37.11
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
