Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,12.14,12.39,9.68,13.91,17.54,9.98,13.36,4.92,1.94,1.64,2.8
Accounts Receivable,15.17,,,,,23.35,,,,,
Inventory,9.64,6.05,6.25,6.24,13.81,14.19,14.68,13.73,17.28,16.65,18.8
Other Current Assets,,17.29,12.93,11.11,28.88,-0.01,19.28,25.93,24.0,26.16,25.07
Total Current Assets,36.95,35.73,28.86,31.26,60.23,47.51,47.33,44.58,43.22,44.45,46.67
Net PP&E,,9.8,9.77,10.83,21.37,20.11,22.48,19.35,15.63,15.87,13.85
Intangibles,4.97,8.93,9.56,8.86,18.3,15.75,17.43,20.5,22.22,20.43,20.41
Other Long-Term Assets,58.08,45.53,51.81,49.06,0.1,16.63,12.76,15.58,18.93,19.26,19.07
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.04,17.29,18.49,23.74,30.21,23.29,,,,,
Short-Term Debt,,1.15,0.77,0.51,2.92,2.23,4.18,4.71,8.52,2.95,
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,12.16,,,,,,,,,,
Other Short-Term Liabilities,-21.2,,,,,,16.41,19.51,19.25,21.96,22.5
Total Current Liabilities,,18.44,19.26,24.25,33.13,25.52,20.59,24.23,27.78,24.92,22.5
Long-Term Debt,46.7,64.84,69.71,64.51,4.11,,7.18,3.59,0.78,,
Other Long-Term Liabilities,-46.7,2.59,3.26,2.88,1.15,1.5,1.58,0.84,2.84,7.51,6.93
Total Liabilities,93.19,85.88,92.23,91.63,38.39,27.01,29.35,28.65,31.39,32.43,29.43
Total Stockholders' Equity,6.81,14.12,7.77,8.37,61.61,72.99,70.65,71.35,68.61,67.57,70.57
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
