Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,125.0,134.0,99.0,105.0,120.0,134.0,129.0,132.0,141.0,184.0,209.0
Gross Margin %,93.7,91.6,91.8,90.6,92.9,91.9,91.0,92.8,94.4,92.4,90.9
Operating Income EUR Mil,12.0,14.0,-4.0,6.0,7.0,9.0,6.0,8.0,9.0,10.0,15.0
Operating Margin %,9.3,10.2,-3.6,5.8,5.7,6.5,4.9,6.0,6.1,5.5,7.1
Net Income EUR Mil,8.0,8.0,-14.0,4.0,5.0,6.0,4.0,6.0,6.0,7.0,11.0
Earnings Per Share EUR,0.37,0.38,-0.69,0.19,0.19,0.28,0.2,0.28,0.28,0.33,0.46
Dividends EUR,,,,,,,,0.11,0.15,0.15,0.16
Payout Ratio % *,,,,,,,,,,,34.8
Shares Mil,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,23.0,24.0
Book Value Per Share * EUR,1.07,1.35,,1.34,1.35,1.13,,,,,2.22
Operating Cash Flow EUR Mil,,,,,,,,,,,
Cap Spending EUR Mil,-1.0,,-0.0,-1.0,-0.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0
Free Cash Flow EUR Mil,9.0,9.0,2.0,1.0,7.0,10.0,0.0,7.0,8.0,4.0,14.0
Free Cash Flow Per Share * EUR,-0.04,0.42,,0.21,0.07,0.51,,,,,
Working Capital EUR Mil,8.0,0.0,-4.0,-3.0,-7.0,-7.0,-8.0,-8.0,-10.0,0.0,
