Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,675.0,825.0,831.0,827.0,814.0,793.0,862.0,994.0,1167.0,1171.0,1183.0
Gross Margin %,72.8,73.8,72.0,72.5,72.9,73.9,74.3,74.0,73.9,74.5,74.5
Operating Income USD Mil,235.0,286.0,227.0,230.0,238.0,233.0,249.0,310.0,344.0,301.0,330.0
Operating Margin %,34.9,34.7,27.3,27.8,29.2,29.4,29.0,31.2,29.4,25.7,27.9
Net Income USD Mil,443.0,250.0,-4.0,143.0,169.0,266.0,236.0,424.0,894.0,379.0,419.0
Earnings Per Share USD,1.65,0.78,-0.15,0.22,0.27,0.42,0.43,0.89,2.0,0.79,0.86
Dividends USD,1.52,1.68,0.72,0.66,0.73,0.78,0.85,0.92,0.97,1.03,1.08
Payout Ratio % *,114.3,244.4,,347.4,327.2,288.8,240.0,120.0,75.0,68.4,120.9
Shares Mil,257.0,259.0,350.0,406.0,408.0,407.0,409.0,411.0,413.0,420.0,424.0
Book Value Per Share * USD,15.4,14.66,11.96,12.14,11.67,11.69,11.46,11.44,11.92,12.47,12.25
Operating Cash Flow USD Mil,666.0,568.0,404.0,480.0,449.0,479.0,570.0,629.0,494.0,592.0,641.0
Cap Spending USD Mil,-1718.0,-655.0,-518.0,-224.0,-381.0,-555.0,-462.0,-583.0,-861.0,-471.0,-473.0
Free Cash Flow USD Mil,-1052.0,-88.0,-114.0,255.0,67.0,-76.0,108.0,47.0,-368.0,121.0,168.0
Free Cash Flow Per Share * USD,-4.09,-0.34,-0.33,0.63,0.51,-0.19,0.52,-0.32,-0.52,-0.05,
Working Capital USD Mil,,308.0,325.0,353.0,169.0,373.0,353.0,466.0,283.0,233.0,
