Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,5904.0,6380.0,6538.0,7527.0,8530.0,8940.0,9561.0,10371.0,10630.0,11572.0,12264.0
Gross Margin %,29.1,29.4,29.3,28.8,28.3,28.0,27.8,28.1,28.3,27.9,27.4
Operating Income USD Mil,388.0,419.0,464.0,521.0,582.0,619.0,677.0,715.0,734.0,772.0,832.0
Operating Margin %,6.6,6.6,7.1,6.9,6.8,6.9,7.1,6.9,6.9,6.7,6.8
Net Income USD Mil,215.0,239.0,311.0,326.0,368.0,388.0,432.0,466.0,479.0,507.0,554.0
Earnings Per Share USD,1.18,1.31,1.72,1.75,1.99,2.16,2.46,2.72,2.85,3.1,3.48
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,182.0,182.0,181.0,187.0,185.0,180.0,175.0,171.0,168.0,164.0,159.0
Book Value Per Share * USD,9.93,10.81,11.92,13.12,14.12,14.88,15.82,16.77,17.83,18.23,19.18
Operating Cash Flow USD Mil,270.0,385.0,397.0,389.0,555.0,408.0,664.0,593.0,587.0,615.0,545.0
Cap Spending USD Mil,-57.0,-51.0,-52.0,-39.0,-45.0,-51.0,-60.0,-82.0,-72.0,-70.0,-81.0
Free Cash Flow USD Mil,213.0,334.0,345.0,350.0,509.0,357.0,604.0,510.0,515.0,545.0,464.0
Free Cash Flow Per Share * USD,1.17,1.83,1.91,1.88,2.33,1.99,3.02,2.97,2.89,3.54,
Working Capital USD Mil,908.0,883.0,1127.0,1001.0,1001.0,1232.0,1284.0,1133.0,1084.0,1022.0,
