Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.54,0.9,3.11,2.04,1.52,3.27,1.19,1.85,2.38,4.41,4.57
Accounts Receivable,0.07,0.26,0.68,0.03,0.05,0.03,0.01,0.24,0.27,0.29,0.42
Inventory,,,,92.25,85.64,,,,,,
Other Current Assets,74.77,94.48,91.42,1.26,3.12,85.3,86.5,85.45,86.1,84.77,84.83
Total Current Assets,75.38,95.65,95.22,95.59,90.33,88.6,87.71,87.53,88.76,89.47,89.83
Net PP&E,1.8,2.47,2.64,2.59,2.75,3.12,4.2,4.7,4.39,2.96,2.7
Intangibles,,,0.02,0.02,0.03,0.09,0.08,0.17,0.2,0.18,0.16
Other Long-Term Assets,22.82,1.88,2.12,1.8,6.88,8.2,8.02,7.6,6.65,7.39,7.31
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.99,3.27,4.5,3.0,2.09,1.4,0.98,,,,
Short-Term Debt,16.57,20.02,6.52,18.56,16.33,22.16,21.94,31.85,30.51,38.1,15.89
Taxes Payable,,0.27,1.47,0.63,0.09,0.01,0.01,0.01,0.01,0.24,0.06
Accrued Liabilities,6.1,,,1.18,0.71,0.59,,,,,
Other Short-Term Liabilities,2.78,11.8,9.17,3.96,2.46,2.3,3.71,6.01,5.84,4.78,5.34
Total Current Liabilities,27.44,35.36,21.66,27.33,21.68,26.46,26.64,37.87,36.36,43.12,21.29
Long-Term Debt,44.06,39.01,40.43,27.64,33.87,35.68,40.44,36.92,38.33,31.1,52.32
Other Long-Term Liabilities,1.35,1.0,1.86,2.32,2.16,1.51,1.13,1.17,1.29,1.25,1.46
Total Liabilities,72.85,75.38,63.96,57.29,57.7,63.65,68.21,75.97,75.97,75.48,75.06
Total Stockholders' Equity,27.15,24.62,36.04,42.71,42.3,36.35,31.79,24.03,24.03,24.52,24.94
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
