Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,47298.0,53898.0,56910.0,60455.0,63916.0,63406.0,63557.0,56925.0,53933.0,55917.0,56927.0
Gross Margin %,7.7,7.8,8.1,8.5,8.4,6.6,6.3,-3.9,5.3,5.2,5.5
Operating Income GBP Mil,2791.0,3169.0,3457.0,3917.0,4182.0,2382.0,2631.0,-5750.0,1072.0,1017.0,1387.0
Operating Margin %,5.9,5.9,6.1,6.5,6.5,3.8,4.1,-10.1,2.0,1.8,2.4
Net Income GBP Mil,2124.0,2133.0,2327.0,2655.0,2806.0,28.0,974.0,-5741.0,138.0,-40.0,688.0
Earnings Per Share GBP,0.27,0.27,0.29,0.33,0.35,,0.12,-0.71,0.02,,0.08
Dividends GBP,0.1,0.11,0.12,0.14,0.15,0.15,0.15,0.11,,,
Payout Ratio % *,37.7,39.3,44.1,39.5,40.2,42.4,113.0,139.6,,,
Shares Mil,7983.0,7912.0,7972.0,8061.0,8045.0,8037.0,8078.0,8107.0,8152.0,8168.0,8183.0
Book Value Per Share * GBP,1.5,1.52,1.61,2.05,2.21,2.16,1.94,1.65,0.76,0.73,1.29
Operating Cash Flow GBP Mil,3343.0,3960.0,4745.0,4267.0,4408.0,2837.0,3185.0,484.0,2126.0,1989.0,2176.0
Cap Spending GBP Mil,-3600.0,-4707.0,-3018.0,-3551.0,-3708.0,-2987.0,-2881.0,-2318.0,-1038.0,-1374.0,-1637.0
Free Cash Flow GBP Mil,-257.0,-747.0,1727.0,716.0,700.0,-150.0,304.0,-1834.0,1088.0,615.0,539.0
Free Cash Flow Per Share * GBP,-0.03,-0.12,0.03,0.09,0.08,0.03,0.01,0.01,-0.19,0.2,
Working Capital GBP Mil,-3963.0,-4116.0,-4250.0,-5692.0,-6386.0,-5889.0,-5827.0,-7852.0,-4886.0,-3988.0,
