Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2172.0,2315.0,1714.0,1951.0,2215.0,2312.0,2274.0,2512.0,2504.0,2031.0,1981.0
Gross Margin %,90.5,90.5,88.8,89.9,89.7,89.7,87.9,86.4,85.2,83.2,84.2
Operating Income USD Mil,446.0,245.0,65.0,271.0,356.0,305.0,285.0,121.0,1.0,-500.0,-494.0
Operating Margin %,20.5,10.6,3.8,13.9,16.0,13.2,12.5,4.8,0.1,-24.6,-24.9
Net Income USD Mil,356.0,183.0,58.0,212.0,285.0,247.0,229.0,81.0,-331.0,-582.0,-566.0
Earnings Per Share USD,1.47,0.8,0.25,0.9,1.22,1.07,1.0,0.35,-1.46,-2.61,-2.57
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,242.0,230.0,232.0,234.0,233.0,231.0,229.0,232.0,226.0,222.0,220.0
Book Value Per Share * USD,,,,,,,,,141.71,100.06,9.35
Operating Cash Flow USD Mil,709.0,593.0,247.0,540.0,574.0,559.0,564.0,708.0,414.0,169.0,-62.0
Cap Spending USD Mil,-43.0,-78.0,-39.0,-28.0,-63.0,-56.0,-64.0,-76.0,-72.0,-76.0,-50.0
Free Cash Flow USD Mil,665.0,516.0,208.0,513.0,511.0,502.0,499.0,633.0,342.0,94.0,-113.0
Free Cash Flow Per Share * USD,,,,,,,,,35.68,21.22,
Working Capital USD Mil,735.0,587.0,676.0,845.0,941.0,1509.0,1764.0,1271.0,1402.0,275.0,
