Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2836.0,3572.0,3316.0,4093.0,4448.0,4365.0,4669.0,4627.0,4858.0,4990.0,5173.0
Gross Margin %,67.3,67.4,65.8,67.0,64.5,62.1,63.0,61.8,63.4,62.2,61.4
Operating Income USD Mil,407.0,695.0,311.0,768.0,619.0,308.0,565.0,-419.0,912.0,890.0,933.0
Operating Margin %,14.4,19.5,9.4,18.8,13.9,7.1,12.1,-9.1,18.8,17.8,18.0
Net Income USD Mil,361.0,512.0,117.0,618.0,425.0,187.0,440.0,-334.0,634.0,593.0,643.0
Earnings Per Share USD,0.62,0.93,0.22,1.15,0.79,0.35,0.86,-0.73,1.59,1.53,1.67
Dividends USD,,,,,,,,0.2,0.4,0.4,0.4
Payout Ratio % *,,,,,,,,8.3,,25.9,23.9
Shares Mil,579.0,551.0,534.0,538.0,541.0,526.0,510.0,457.0,399.0,388.0,387.0
Book Value Per Share * USD,10.24,11.18,11.21,12.57,13.18,13.77,14.77,14.87,11.53,12.52,13.76
Operating Cash Flow USD Mil,787.0,875.0,796.0,812.0,987.0,642.0,842.0,763.0,893.0,1106.0,1375.0
Cap Spending USD Mil,-147.0,-165.0,-153.0,-185.0,-266.0,-414.0,-243.0,-193.0,-210.0,-214.0,-149.0
Free Cash Flow USD Mil,640.0,711.0,643.0,627.0,720.0,228.0,599.0,571.0,682.0,891.0,1226.0
Free Cash Flow Per Share * USD,1.1,1.29,1.2,1.16,1.61,0.43,0.63,1.39,2.13,1.72,
Working Capital USD Mil,1175.0,1760.0,1503.0,1742.0,2973.0,2178.0,2263.0,1444.0,1111.0,2236.0,
