Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,16406.0,17608.0,15179.0,21633.0,21900.0,20421.0,20006.0,12679.0,11465.0,10771.0,10252.0
Gross Margin %,39.3,38.9,39.7,35.6,33.4,33.2,32.4,40.3,40.0,39.6,39.7
Operating Income USD Mil,1185.0,1383.0,976.0,1450.0,1754.0,1690.0,1504.0,1381.0,1146.0,1032.0,973.0
Operating Margin %,7.2,7.9,6.4,6.7,8.0,8.3,7.5,10.9,10.0,9.6,9.5
Net Income USD Mil,1135.0,230.0,485.0,606.0,1295.0,1195.0,1159.0,1013.0,474.0,-477.0,-464.0
Earnings Per Share USD,4.76,1.04,2.2,1.72,3.6,3.52,3.64,3.36,1.68,-1.96,-1.88
Dividends USD,,,,0.09,0.17,0.17,0.23,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,234.0,224.0,220.0,338.0,361.0,332.0,318.0,293.0,269.0,256.0,257.0
Book Value Per Share * USD,,,,,,,,,,,32.27
Operating Cash Flow USD Mil,1871.0,939.0,2208.0,2726.0,1961.0,2580.0,2375.0,2063.0,1611.0,1095.0,626.0
Cap Spending USD Mil,-359.0,-335.0,-193.0,-519.0,-501.0,-513.0,-427.0,-452.0,-342.0,-138.0,-109.0
Free Cash Flow USD Mil,1512.0,604.0,2015.0,2207.0,1460.0,2067.0,1948.0,1611.0,1269.0,957.0,517.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,4463.0,2700.0,5270.0,2222.0,1531.0,2363.0,2825.0,2798.0,1431.0,2338.0,
