Key Financials ZAR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue ZAR Mil,3868.0,2883.0,2166.0,2359.0,2507.0,1846.0,1224.0,2390.0,2416.0,2583.0,2524.0
Gross Margin %,18.7,14.1,26.1,22.7,19.3,24.6,60.7,58.9,55.2,54.4,51.4
Operating Income ZAR Mil,-165.0,-242.0,67.0,122.0,179.0,85.0,248.0,408.0,261.0,271.0,129.0
Operating Margin %,-4.3,-8.4,3.1,5.2,7.1,4.6,20.3,17.1,10.8,10.5,5.1
Net Income ZAR Mil,-184.0,-285.0,-203.0,9.0,137.0,41.0,-11.0,125.0,-64.0,105.0,14.0
Earnings Per Share ZAR,-18.75,-5.95,-2.73,0.11,1.78,0.57,-0.13,0.3,-0.14,0.24,0.03
Dividends ZAR,1.13,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,10.0,47.0,78.0,78.0,77.0,71.0,91.0,412.0,439.0,445.0,445.0
Book Value Per Share * ZAR,,18.93,1.84,1.78,17.74,19.68,21.04,17.91,14.06,13.83,13.84
Operating Cash Flow ZAR Mil,6.0,-162.0,150.0,-57.0,39.0,203.0,217.0,-419.0,336.0,269.0,205.0
Cap Spending ZAR Mil,-112.0,-74.0,-50.0,-97.0,-55.0,-112.0,,,,-88.0,-87.0
Free Cash Flow ZAR Mil,-106.0,-236.0,100.0,-155.0,-16.0,91.0,217.0,-419.0,336.0,181.0,118.0
Free Cash Flow Per Share * ZAR,,-5.02,1.27,-1.98,-2.02,0.71,-1.14,0.41,0.05,0.9,
Working Capital ZAR Mil,527.0,,407.0,349.0,354.0,168.0,588.0,576.0,304.0,437.0,
