Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.07,0.25,0.85,0.24,0.19,0.18,0.44,0.22,0.09,0.03,0.02
Accounts Receivable,0.26,4.03,0.15,0.14,,0.93,1.22,,0.22,0.26,0.24
Inventory,,,,,,,,,,,
Other Current Assets,0.84,0.73,0.69,0.77,0.81,0.7,0.73,0.33,0.27,0.26,0.26
Total Current Assets,1.17,5.01,1.69,1.15,1.0,1.81,2.39,0.55,0.58,0.55,0.53
Net PP&E,95.41,92.39,96.71,94.82,92.88,89.01,88.12,86.88,85.38,87.14,87.02
Intangibles,,,,,,,,,,,
Other Long-Term Assets,3.42,2.6,1.6,4.03,6.12,9.18,9.48,12.57,14.04,12.31,12.46
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,1.57,,,,,,,,
Short-Term Debt,,,,,,,,,,,
Taxes Payable,0.18,0.27,0.33,0.26,0.2,0.2,0.2,0.23,0.25,0.23,0.46
Accrued Liabilities,0.58,0.4,0.37,0.38,0.35,0.45,0.47,0.5,0.38,0.38,0.39
Other Short-Term Liabilities,2.69,3.06,1.78,3.1,2.61,2.53,2.65,2.85,2.58,2.93,2.42
Total Current Liabilities,3.46,3.74,4.06,3.74,3.16,3.18,3.33,3.58,3.21,3.54,3.26
Long-Term Debt,72.96,63.64,66.76,64.52,58.3,49.49,51.76,52.33,46.59,44.29,47.41
Other Long-Term Liabilities,2.35,2.09,1.99,2.69,4.12,3.87,3.61,4.14,12.36,11.89,12.68
Total Liabilities,78.77,69.47,72.81,70.95,65.57,56.55,58.7,60.05,62.16,59.72,63.34
Total Stockholders' Equity,21.23,30.53,27.19,29.05,34.43,43.45,41.3,39.95,37.84,40.28,36.66
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
