Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,794.0,691.0,282.0,261.0,229.0,225.0,213.0,211.0,231.0,271.0,278.0
Gross Margin %,39.7,43.9,,,,,,,,,
Operating Income EUR Mil,249.0,224.0,212.0,151.0,191.0,14.0,130.0,115.0,170.0,213.0,212.0
Operating Margin %,31.3,32.4,75.3,57.9,83.2,6.4,61.1,54.3,73.3,78.4,76.1
Net Income EUR Mil,193.0,-4071.0,-615.0,-656.0,15.0,-1129.0,-547.0,492.0,415.0,274.0,479.0
Earnings Per Share EUR,,,,,,,,2.28,1.3,0.81,1.27
Dividends EUR,,,,,,,,,,0.15,
Payout Ratio % *,,,,,,,,,,11.2,
Shares Mil,,,,,,,,216.0,319.0,336.0,369.0
Book Value Per Share * EUR,,,,,,,,4.64,5.12,6.54,7.7
Operating Cash Flow EUR Mil,527.0,458.0,242.0,162.0,163.0,185.0,140.0,115.0,113.0,168.0,224.0
Cap Spending EUR Mil,-6.0,-1.0,-1.0,-108.0,-89.0,-1.0,-1.0,-1.0,-1.0,-4.0,-6.0
Free Cash Flow EUR Mil,521.0,457.0,242.0,54.0,73.0,184.0,139.0,114.0,112.0,165.0,218.0
Free Cash Flow Per Share * EUR,,,,,,,,0.39,0.4,0.33,
Working Capital EUR Mil,536.0,2092.0,1563.0,131.0,-289.0,-245.0,-2793.0,6.0,-1.0,-240.0,
