Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3897.0,4587.0,4077.0,4133.0,4289.0,4436.0,4814.0,5066.0,5254.0,5505.0,5611.0
Gross Margin %,32.8,37.5,41.6,42.3,41.6,42.2,42.3,43.1,44.6,46.2,46.4
Operating Income USD Mil,739.0,908.0,946.0,1007.0,990.0,1048.0,1061.0,1210.0,1311.0,1445.0,1482.0
Operating Margin %,19.0,19.8,23.2,24.4,23.1,23.6,22.0,23.9,25.0,26.2,26.4
Net Income USD Mil,439.0,569.0,476.0,496.0,472.0,611.0,648.0,754.0,712.0,930.0,915.0
Earnings Per Share USD,1.3,1.75,1.53,1.64,1.64,2.22,2.44,2.98,2.99,4.15,4.2
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,338.0,326.0,311.0,303.0,288.0,275.0,266.0,252.0,238.0,224.0,218.0
Book Value Per Share * USD,,,,,,,,,221.39,247.15,216.4
Operating Cash Flow USD Mil,631.0,775.0,844.0,958.0,953.0,835.0,1039.0,1307.0,1346.0,1431.0,1404.0
Cap Spending USD Mil,-160.0,-199.0,-198.0,-175.0,-192.0,-195.0,-236.0,-292.0,-359.0,-290.0,-275.0
Free Cash Flow USD Mil,471.0,576.0,646.0,783.0,761.0,640.0,803.0,1015.0,987.0,1141.0,1129.0
Free Cash Flow Per Share * USD,,,,,,,,,67.79,104.47,
Working Capital USD Mil,450.0,98.0,116.0,526.0,-28.0,307.0,240.0,,4.0,-92.0,
