Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,9.96,12.29,18.93,15.55,17.55,19.21,22.51,23.55,22.09,25.44,24.55
Accounts Receivable,7.67,7.63,7.72,6.08,6.15,5.52,5.41,4.85,4.37,4.42,4.05
Inventory,5.13,5.4,4.84,3.63,3.87,3.79,3.64,3.37,3.22,3.07,2.88
Other Current Assets,5.22,4.74,4.57,4.34,4.31,6.68,3.2,4.07,7.38,6.05,10.95
Total Current Assets,27.98,30.05,36.06,29.59,31.88,35.19,34.76,35.85,37.07,38.97,42.43
Net PP&E,19.63,20.55,19.64,20.2,18.68,16.8,16.62,15.9,13.95,12.19,9.18
Intangibles,28.24,30.86,26.36,36.9,34.6,31.72,30.66,28.66,26.79,24.21,18.3
Other Long-Term Assets,24.16,18.54,17.94,13.31,14.84,16.28,17.96,19.6,22.19,24.63,30.1
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.19,3.38,2.9,2.59,2.72,2.28,2.15,2.27,3.1,3.07,
Short-Term Debt,13.99,16.12,13.97,12.86,18.65,20.74,19.9,24.65,17.54,18.36,18.37
Taxes Payable,,0.62,0.54,0.37,0.45,0.55,0.34,0.43,0.37,0.35,0.39
Accrued Liabilities,13.39,11.93,10.78,9.56,8.55,7.79,8.49,7.76,7.62,7.01,
Other Short-Term Liabilities,,,,,,0.92,,0.06,1.26,1.61,11.76
Total Current Liabilities,30.56,32.05,28.19,25.38,30.36,32.28,30.88,35.18,29.89,30.4,30.53
Long-Term Debt,7.57,6.86,10.39,19.26,17.08,17.1,21.27,20.72,31.53,34.01,35.87
Other Long-Term Liabilities,11.61,10.56,10.46,12.85,13.0,12.56,11.01,11.16,10.21,9.16,9.16
Total Liabilities,49.75,49.48,49.05,57.48,60.44,61.95,63.16,67.05,71.64,73.57,75.56
Total Stockholders' Equity,50.25,50.52,50.95,42.52,39.56,38.05,36.84,32.95,28.36,26.43,24.44
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
