Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2583.0,2015.0,2762.0,2993.0,2701.0,2634.0,2865.0,3435.0,3421.0,5108.0,5108.0
Gross Margin %,61.1,55.5,65.2,66.4,64.5,64.3,63.9,65.8,65.1,59.9,59.9
Operating Income USD Mil,625.0,285.0,900.0,1072.0,824.0,753.0,752.0,831.0,1028.0,1055.0,1055.0
Operating Margin %,24.2,14.1,32.6,35.8,30.5,28.6,26.3,24.2,30.0,20.7,20.7
Net Income USD Mil,786.0,248.0,712.0,867.0,651.0,673.0,629.0,697.0,862.0,727.0,727.0
Earnings Per Share USD,8.01,2.55,6.99,8.43,6.39,6.42,5.94,6.6,8.28,6.21,6.21
Dividends USD,,,0.01,0.36,0.38,0.4,0.48,0.26,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,99.0,98.0,102.0,103.0,102.0,105.0,106.0,106.0,104.0,117.0,117.0
Book Value Per Share * USD,,,,,,,,,,,97.01
Operating Cash Flow USD Mil,669.0,432.0,991.0,901.0,815.0,912.0,872.0,908.0,1281.0,1113.0,1113.0
Cap Spending USD Mil,-157.0,-56.0,-112.0,-123.0,-132.0,-123.0,-178.0,-154.0,-127.0,-204.0,-204.0
Free Cash Flow USD Mil,512.0,376.0,880.0,778.0,682.0,789.0,694.0,754.0,1153.0,908.0,908.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,1521.0,2104.0,2836.0,3861.0,4171.0,4902.0,3103.0,2966.0,4192.0,755.0,
