Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,933.0,1084.0,1178.0,1439.0,1676.0,1913.0,2143.0,2556.0,2986.0,3562.0,3599.0
Gross Margin %,44.8,44.8,46.9,46.4,45.4,44.8,45.0,42.8,42.4,42.2,41.7
Operating Income USD Mil,225.0,274.0,315.0,371.0,424.0,469.0,536.0,556.0,488.0,434.0,84.0
Operating Margin %,24.1,25.3,26.8,25.8,25.3,24.5,25.0,21.8,16.3,12.2,2.3
Net Income USD Mil,118.0,149.0,176.0,208.0,235.0,268.0,311.0,326.0,267.0,206.0,-28.0
Earnings Per Share USD,1.32,1.68,2.03,2.39,2.69,3.08,3.56,3.79,2.98,2.08,-0.55
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,90.0,88.0,87.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,85.0
Book Value Per Share * USD,8.17,7.84,9.98,12.3,13.96,17.93,19.95,21.87,32.01,33.44,32.88
Operating Cash Flow USD Mil,174.0,211.0,277.0,326.0,306.0,387.0,403.0,449.0,390.0,547.0,522.0
Cap Spending USD Mil,-48.0,-48.0,-40.0,-48.0,-53.0,-65.0,-73.0,-86.0,-115.0,-136.0,-127.0
Free Cash Flow USD Mil,126.0,163.0,237.0,277.0,253.0,322.0,330.0,362.0,276.0,411.0,395.0
Free Cash Flow Per Share * USD,1.4,1.85,2.74,3.19,3.27,3.7,4.32,3.79,3.53,4.33,
Working Capital USD Mil,61.0,45.0,26.0,60.0,64.0,110.0,124.0,119.0,174.0,231.0,
