Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,31.76,21.5,26.86,30.1,21.7,25.38,21.75,22.37,34.47,29.98,23.24
Accounts Receivable,5.91,15.86,17.32,18.0,22.68,29.88,31.21,33.11,3.48,2.48,2.41
Inventory,,,,,,,,,,,
Other Current Assets,8.69,2.95,1.78,2.19,1.96,2.47,3.16,3.3,6.49,4.76,4.63
Total Current Assets,46.35,40.32,45.96,50.29,46.34,57.72,56.12,58.79,44.44,37.22,30.29
Net PP&E,7.29,7.69,7.14,6.92,7.27,6.72,6.65,6.43,8.74,6.36,5.96
Intangibles,44.6,49.78,37.54,30.6,35.77,26.07,24.6,21.4,25.53,19.3,18.3
Other Long-Term Assets,1.76,2.22,9.36,12.19,10.62,9.49,12.62,13.39,21.29,37.12,45.45
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.02,1.09,1.05,0.84,1.04,0.81,0.74,0.89,1.96,1.19,1.0
Short-Term Debt,,6.41,,1.36,2.07,1.11,0.01,1.88,,6.08,2.89
Taxes Payable,,0.64,1.14,0.18,1.45,0.57,0.26,0.34,0.4,0.46,0.39
Accrued Liabilities,5.09,3.45,5.33,6.11,3.21,2.91,6.75,11.95,9.76,7.94,7.57
Other Short-Term Liabilities,14.07,12.16,12.26,12.03,16.88,24.07,22.7,23.78,0.6,0.46,0.45
Total Current Liabilities,20.17,23.76,19.78,20.53,24.65,29.47,30.46,38.84,12.72,16.13,12.3
Long-Term Debt,,,,6.79,5.58,11.08,9.92,15.02,38.12,31.49,35.65
Other Long-Term Liabilities,3.66,5.15,5.32,3.14,4.14,3.18,2.62,2.03,12.18,8.19,8.56
Total Liabilities,23.83,28.92,25.1,30.46,34.37,43.72,43.0,55.89,63.03,55.81,56.51
Total Stockholders' Equity,76.17,71.08,74.9,69.54,65.63,56.28,57.0,44.11,36.97,44.19,43.49
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
