Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,8828.0,8573.0,8627.0,9700.0,10860.0,12134.0,12540.0,13506.0,14437.0,14757.0,15092.0
Gross Margin %,37.4,36.8,38.2,39.2,39.3,38.8,38.3,37.8,36.5,36.0,36.1
Operating Income USD Mil,976.0,779.0,834.0,1118.0,1249.0,1345.0,1350.0,1323.0,1101.0,1002.0,999.0
Operating Margin %,11.1,9.1,9.7,11.5,11.5,11.1,10.8,9.8,7.6,6.8,6.6
Net Income USD Mil,715.0,401.0,441.0,613.0,683.0,735.0,734.0,720.0,600.0,354.0,487.0
Earnings Per Share USD,2.88,1.83,2.01,2.75,3.14,3.56,3.71,3.72,3.15,2.02,2.85
Dividends USD,0.54,0.64,0.64,0.76,0.92,1.08,1.2,1.32,1.48,1.48,1.11
Payout Ratio % *,,,,,,,,,,80.0,39.0
Shares Mil,249.0,219.0,219.0,222.0,217.0,206.0,197.0,193.0,190.0,175.0,171.0
Book Value Per Share * USD,,,,,,,,,,105.14,98.38
Operating Cash Flow USD Mil,161.0,848.0,1251.0,1177.0,1177.0,1110.0,1320.0,1220.0,2451.0,1648.0,1367.0
Cap Spending USD Mil,-501.0,-563.0,-360.0,-399.0,-511.0,-513.0,-803.0,-861.0,-1082.0,-846.0,-757.0
Free Cash Flow USD Mil,-340.0,285.0,891.0,778.0,666.0,597.0,517.0,359.0,1369.0,802.0,610.0
Free Cash Flow Per Share * USD,,,,,,,,,,85.53,
Working Capital USD Mil,1726.0,1616.0,2040.0,2945.0,2985.0,2855.0,2687.0,2424.0,103.0,213.0,
