Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,27.85,34.08,40.5,32.91,34.33,36.16,26.07,31.86,30.25,22.33,29.6
Accounts Receivable,8.43,17.79,14.22,11.08,7.86,4.28,4.43,3.82,7.01,7.5,7.39
Inventory,0.8,1.7,1.71,2.25,2.46,1.58,2.07,1.76,2.41,1.88,1.56
Other Current Assets,2.43,3.3,3.87,4.52,15.76,18.81,17.71,20.26,1.36,1.77,1.84
Total Current Assets,39.51,56.86,60.31,50.77,60.41,60.83,50.28,57.69,41.04,33.48,40.39
Net PP&E,8.77,20.97,22.08,16.46,14.9,10.69,9.83,7.17,9.72,11.38,10.61
Intangibles,37.28,2.92,2.04,27.17,20.74,18.29,31.65,28.5,36.08,39.66,34.32
Other Long-Term Assets,14.44,19.25,15.56,5.59,3.94,10.19,8.24,6.64,13.16,15.48,14.68
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.44,1.98,0.51,0.34,0.18,0.28,1.03,0.38,1.07,0.21,
Short-Term Debt,5.95,,,8.27,16.7,19.55,13.38,10.67,,2.38,
Taxes Payable,,0.59,0.57,0.56,0.37,0.1,0.46,0.28,0.47,0.88,
Accrued Liabilities,6.66,12.99,9.57,11.62,8.86,7.11,7.44,6.36,8.59,10.34,
Other Short-Term Liabilities,7.24,18.06,17.56,19.48,31.54,26.19,24.99,25.71,12.69,14.12,22.56
Total Current Liabilities,20.29,33.61,28.21,40.27,57.65,53.23,47.28,43.4,22.81,27.93,22.56
Long-Term Debt,12.92,29.8,30.91,23.46,7.49,,,10.86,14.84,30.69,27.94
Other Long-Term Liabilities,13.06,30.52,33.2,20.29,11.52,6.76,5.12,4.18,3.82,6.01,5.65
Total Liabilities,46.27,93.93,92.32,84.03,76.66,59.98,52.4,58.45,41.47,64.63,56.15
Total Stockholders' Equity,53.73,6.07,7.68,15.97,23.34,40.02,47.6,41.55,58.53,35.37,43.85
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
