Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,6646.0,3657.0,4400.0,3637.0,4354.0,6259.0,8024.0,10824.0,12157.0,14091.0,14091.0
Gross Margin %,-24.6,3.3,17.6,16.9,19.8,22.5,21.9,21.1,21.8,21.6,21.6
Operating Income USD Mil,-2640.0,-556.0,100.0,54.0,247.0,634.0,790.0,1102.0,1335.0,1576.0,1576.0
Operating Margin %,-39.7,-15.2,2.3,1.5,5.7,10.1,9.9,10.2,11.0,11.2,11.2
Net Income USD Mil,-2633.0,-549.0,245.0,71.0,956.0,462.0,534.0,751.0,886.0,1038.0,1038.0
Earnings Per Share USD,-8.34,-1.73,0.77,0.23,2.77,1.33,1.5,2.03,2.36,2.74,2.74
Dividends USD,0.45,0.15,0.15,0.15,0.15,0.04,0.14,0.25,0.32,0.4,0.4
Payout Ratio % *,,,19.5,65.2,5.8,6.1,5.1,13.5,13.4,14.2,14.6
Shares Mil,315.0,316.0,319.0,319.0,359.0,364.0,367.0,370.0,375.0,378.0,378.0
Book Value Per Share * USD,8.95,7.12,8.2,8.29,10.87,12.09,13.62,15.27,17.46,19.83,20.66
Operating Cash Flow USD Mil,1880.0,1141.0,709.0,15.0,-298.0,-1231.0,-661.0,700.0,618.0,435.0,435.0
Cap Spending USD Mil,-6.0,-6.0,-19.0,-16.0,-34.0,-58.0,-100.0,-56.0,-86.0,-157.0,-157.0
Free Cash Flow USD Mil,1873.0,1135.0,690.0,-1.0,-331.0,-1289.0,-762.0,644.0,531.0,278.0,278.0
Free Cash Flow Per Share * USD,5.93,3.58,2.17,,-0.33,-3.6,-2.02,0.02,1.4,0.57,
Working Capital USD Mil,1226.0,4757.0,3982.0,3557.0,5123.0,6512.0,6972.0,7798.0,8200.0,8746.0,
