Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1615.0,1039.0,853.0,936.0,1150.0,1326.0,1460.0,1581.0,1702.0,1816.0,1910.0
Gross Margin %,86.7,79.8,80.2,83.3,83.0,85.6,86.3,85.8,86.0,85.9,86.7
Operating Income USD Mil,318.0,-1573.0,-124.0,-29.0,120.0,212.0,189.0,207.0,285.0,245.0,296.0
Operating Margin %,19.7,-151.5,-14.5,-3.1,10.5,16.0,12.9,13.1,16.8,13.5,15.5
Net Income USD Mil,296.0,-1857.0,-150.0,127.0,72.0,440.0,164.0,159.0,252.0,203.0,257.0
Earnings Per Share USD,1.01,-7.3,-0.58,0.48,0.27,1.57,0.56,0.52,0.81,0.7,0.92
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,296.0,254.0,258.0,266.0,271.0,281.0,295.0,307.0,312.0,291.0,279.0
Book Value Per Share * USD,7.48,0.4,0.4,1.04,1.38,3.26,3.8,4.39,4.65,3.33,3.58
Operating Cash Flow USD Mil,402.0,70.0,26.0,199.0,240.0,316.0,368.0,317.0,378.0,445.0,541.0
Cap Spending USD Mil,-84.0,-100.0,-42.0,-37.0,-31.0,-36.0,-45.0,-40.0,-45.0,-54.0,-51.0
Free Cash Flow USD Mil,319.0,-29.0,-16.0,162.0,209.0,280.0,323.0,277.0,333.0,391.0,490.0
Free Cash Flow Per Share * USD,1.08,-0.12,-0.06,0.6,0.79,1.0,1.02,0.88,1.09,1.06,
Working Capital USD Mil,744.0,390.0,453.0,182.0,49.0,174.0,73.0,459.0,428.0,116.0,
