Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3509.0,4279.0,3787.0,3647.0,3551.0,3896.0,4089.0,4331.0,4703.0,4962.0,5192.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,1060.0,1276.0,1255.0,989.0,845.0,992.0,1076.0,1190.0,1465.0,1517.0,1587.0
Operating Margin %,30.2,29.8,33.1,27.1,23.8,25.5,26.3,27.5,31.2,30.6,30.6
Net Income USD Mil,726.0,794.0,864.0,670.0,571.0,687.0,731.0,811.0,973.0,1033.0,1109.0
Earnings Per Share USD,3.24,3.47,3.16,2.74,2.37,2.81,2.99,3.32,3.99,4.32,4.52
Dividends USD,1.03,1.12,1.12,1.12,1.12,1.18,1.23,1.3,1.41,1.48,1.56
Payout Ratio % *,31.8,32.3,35.4,40.9,43.6,42.0,40.9,41.1,34.7,34.8,34.5
Shares Mil,224.0,224.0,236.0,243.0,241.0,245.0,241.0,238.0,234.0,229.0,230.0
Book Value Per Share * USD,20.44,21.92,26.12,28.19,29.68,31.5,32.94,34.94,36.62,38.05,40.82
Operating Cash Flow USD Mil,881.0,855.0,1015.0,790.0,1254.0,814.0,839.0,936.0,1834.0,1510.0,1708.0
Cap Spending USD Mil,-254.0,-308.0,-314.0,-311.0,-371.0,-313.0,-384.0,-410.0,-434.0,-473.0,-516.0
Free Cash Flow USD Mil,627.0,547.0,701.0,479.0,883.0,501.0,454.0,527.0,1401.0,1036.0,1191.0
Free Cash Flow Per Share * USD,2.8,2.43,2.96,1.98,-2.65,2.08,2.66,3.09,-1.09,6.81,
Working Capital USD Mil,,,,,,,,,,,
