Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,933.0,1128.0,1088.0,935.0,1103.0,2132.0,1051.0,1587.0,2584.0,2519.0,1911.0
Gross Margin %,43.6,47.0,43.7,33.7,39.1,38.8,33.7,31.6,33.4,29.5,26.0
Operating Income THB Mil,100.0,219.0,196.0,15.0,106.0,365.0,588.0,50.0,432.0,597.0,330.0
Operating Margin %,10.7,19.4,18.1,1.6,9.6,17.1,56.0,3.2,16.7,23.7,17.3
Net Income THB Mil,58.0,92.0,54.0,-7.0,-20.0,120.0,303.0,-28.0,132.0,159.0,76.0
Earnings Per Share THB,0.02,0.1,0.06,-0.01,-0.02,0.14,0.34,-0.03,0.15,0.18,0.09
Dividends THB,0.01,0.02,0.01,0.01,0.01,0.01,0.04,0.06,0.06,0.02,0.05
Payout Ratio % *,58.8,58.8,19.5,,,5.0,10.1,,39.8,20.9,54.0
Shares Mil,913.0,891.0,891.0,891.0,891.0,891.0,891.0,891.0,877.0,876.0,890.0
Book Value Per Share * THB,0.98,0.98,1.08,1.15,1.02,1.17,1.57,1.34,1.41,1.46,1.49
Operating Cash Flow THB Mil,201.0,-470.0,214.0,-43.0,-429.0,658.0,-611.0,-808.0,-1526.0,-584.0,-658.0
Cap Spending THB Mil,-88.0,-381.0,-239.0,-47.0,-10.0,-13.0,-17.0,-30.0,-87.0,-230.0,-305.0
Free Cash Flow THB Mil,113.0,-852.0,-24.0,-91.0,-438.0,645.0,-628.0,-838.0,-1614.0,-814.0,-964.0
Free Cash Flow Per Share * THB,0.13,0.13,-0.96,0.07,-0.58,0.76,-0.44,-1.37,-1.59,-0.69,
Working Capital THB Mil,798.0,481.0,549.0,346.0,497.0,489.0,1387.0,1638.0,1953.0,2397.0,
