Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,87408.0,95992.0,98503.0,102644.0,107552.0,101093.0,91084.0,102531.0,121546.0,129976.0,130578.0
Gross Margin %,4.3,3.9,3.8,4.1,4.2,4.9,5.7,5.6,5.4,5.0,5.1
Operating Income USD Mil,1392.0,1287.0,1307.0,1514.0,1792.0,996.0,1885.0,2161.0,2459.0,2120.0,1847.0
Operating Margin %,1.6,1.3,1.3,1.5,1.7,1.0,2.1,2.1,2.0,1.6,1.4
Net Income USD Mil,1300.0,1151.0,642.0,959.0,1069.0,334.0,1166.0,1215.0,1427.0,1288.0,1094.0
Earnings Per Share USD,3.57,3.18,1.77,2.72,3.06,0.97,3.38,3.62,4.32,4.03,3.43
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,364.0,362.0,361.0,353.0,349.0,344.0,345.0,335.0,330.0,320.0,319.0
Book Value Per Share * USD,,,,,,,,,,,407.35
Operating Cash Flow USD Mil,1512.0,1567.0,2134.0,1394.0,1176.0,1727.0,2524.0,2540.0,2971.0,1184.0,2261.0
Cap Spending USD Mil,-376.0,-533.0,-256.0,-291.0,-263.0,-195.0,-249.0,-300.0,-465.0,-387.0,-354.0
Free Cash Flow USD Mil,1136.0,1034.0,1878.0,1103.0,913.0,1532.0,2275.0,2240.0,2506.0,797.0,1907.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,3808.0,4399.0,3381.0,2946.0,3336.0,3180.0,2824.0,4509.0,2255.0,7124.0,
