Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,28026.0,24739.0,23434.0,31230.0,32227.0,26178.0,32493.0,34275.0,35155.0,34631.0,37466.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,3394.0,2287.0,983.0,6198.0,6110.0,596.0,4558.0,3591.0,8495.0,8848.0,10178.0
Operating Margin %,12.1,9.2,4.2,19.8,19.0,2.3,14.0,10.5,24.2,25.5,27.2
Net Income USD Mil,3209.0,1707.0,1346.0,4703.0,4110.0,68.0,2932.0,3467.0,6127.0,5979.0,7134.0
Earnings Per Share USD,2.98,1.45,-0.77,2.63,1.23,-0.02,1.36,1.6,2.9,2.92,3.6
Dividends USD,1.08,1.08,0.42,0.2,0.2,0.2,0.2,0.35,0.55,0.7,0.85
Payout Ratio % *,,,,8.2,10.6,1000.0,11.7,11.9,30.5,26.0,23.5
Shares Mil,1054.0,1096.0,1185.0,1411.0,1675.0,1919.0,1957.0,1971.0,1953.0,1887.0,1836.0
Book Value Per Share * USD,,,356.34,390.46,438.72,400.19,422.14,505.67,613.61,779.26,747.9
Operating Cash Flow USD Mil,-22093.0,73417.0,-45951.0,40307.0,6684.0,24548.0,35553.0,1131.0,3674.0,2447.0,-11531.0
Cap Spending USD Mil,-1469.0,-1400.0,-2877.0,-1201.0,-1304.0,-1312.0,-1316.0,-992.0,-1373.0,-1276.0,-1512.0
Free Cash Flow USD Mil,-23562.0,72017.0,-48828.0,39106.0,5380.0,23236.0,34237.0,139.0,2301.0,1171.0,-13043.0
Free Cash Flow Per Share * USD,,,-538.43,343.58,209.62,157.86,114.29,191.4,-141.36,196.7,
Working Capital USD Mil,,,,,,,,,,,
