Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,59.53,48.11,47.11,35.68,25.99,18.85,22.18,22.79,22.65,12.76,10.3
Accounts Receivable,,,,,,,,,,,
Inventory,,,5.49,,,,,,,,
Other Current Assets,4.85,10.39,7.86,29.59,33.66,37.62,34.33,33.05,30.59,29.34,27.37
Total Current Assets,64.38,58.49,60.47,65.27,59.65,56.47,56.51,55.84,53.24,42.1,37.67
Net PP&E,11.95,20.22,19.37,13.09,4.44,3.32,2.47,2.12,1.7,1.84,1.9
Intangibles,20.47,,16.01,,,,,,,,
Other Long-Term Assets,3.2,21.29,4.16,21.64,35.9,40.21,41.02,42.04,45.06,56.05,60.43
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,16.14,16.24,13.46,22.69,32.99,2.18,2.0,2.86,2.48,2.3,1.78
Short-Term Debt,,0.19,,,,,,,,,
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,5.64,5.08,4.91,3.72,1.77,1.34,1.0,0.99,1.38,1.45,1.96
Other Short-Term Liabilities,11.08,13.45,14.93,13.16,5.16,38.72,36.8,33.89,30.73,30.0,27.59
Total Current Liabilities,32.85,34.96,33.3,39.57,39.91,42.24,39.8,37.74,34.59,33.76,31.33
Long-Term Debt,,,29.42,20.37,13.03,10.08,9.24,12.75,23.24,24.76,28.84
Other Long-Term Liabilities,0.57,8.86,7.98,10.52,26.11,28.91,26.32,23.18,20.37,21.76,20.2
Total Liabilities,33.43,43.82,70.7,70.45,79.06,81.23,75.36,73.67,78.21,80.28,80.37
Total Stockholders' Equity,66.57,56.18,29.3,29.55,20.94,18.77,24.64,26.33,21.79,19.72,19.63
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
